RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
656.6864,431446.75,0.9298803806304932,46.265232,9.933966,4.5297365,44.99825,1070.0968,166290.53,165753.86,165107.28,1195.3125,1171.875,1218.75,5
1036.6932,1075239.8,-0.0789448618888855,12.779295,6.2926044,2.3030775,14.492356,100.482765,343425.25,315211.34,311788.8,1125.0,1382.8125,1101.5625,5
1213.3125,1472844.9,-0.08593964576721191,7.746861,5.3766036,1.7444923,9.379444,38.05726,402752.62,396920.12,344067.7,1453.125,1148.4375,1382.8125,5
1275.2273,1626990.6,-0.07234670221805573,6.60598,5.115559,1.5648637,8.005153,24.91872,458119.8,433315.66,391170.84,1148.4375,1453.125,1078.125,5
1101.5776,1214049.1,-0.3082583546638489,6.029494,3.5841162,1.5444151,5.535363,18.745586,401122.8,341000.3,322395.44,1453.125,1148.4375,1242.1875,5
1444.2418,2086847.8,-1.960477352142334,38.206333,7.184829,1.957022,14.060868,58.77876,434482.47,429448.44,391119.66,1546.875,1406.25,1593.75,5
2204.126,4860510.5,0.2503979206085205,19.34882,7.067459,2.1030066,14.862913,54.65226,846272.56,653493.8,595905.6,1148.4375,1078.125,1171.875,5
2174.007,4728612.5,0.25413548946380615,20.411493,7.1653724,2.2296255,15.976097,62.61807,738999.9,673951.44,622092.3,1148.4375,1125.0,1171.875,5
2236.504,5003898.0,0.2664330303668976,18.325214,6.965143,2.0599852,14.348092,53.233765,864288.2,707369.06,697009.75,1148.4375,1125.0,1078.125,5
1958.227,3836521.2,1.1452901363372803,20.1411,7.9549356,1.976431,15.722382,45.458996,718912.94,640802.1,533150.06,1078.125,1148.4375,1125.0,5
974.70557,950309.9,0.08796560019254684,5.458244,4.3975296,1.5184071,6.67724,19.175795,343858.47,311135.22,259830.05,1171.875,1101.5625,1125.0,5
1166.6116,1361635.4,0.20685018599033356,5.615101,4.8802004,1.4980897,7.310978,19.89298,389351.9,346689.7,339595.0,1195.3125,1406.25,1125.0,5
1043.2876,1088161.9,0.1704457402229309,6.9063654,5.4570746,1.5550988,8.48629,23.455023,319727.72,289257.44,276105.88,1195.3125,1125.0,1406.25,5
2063.9495,4261963.5,0.7411291599273682,23.99066,7.96472,2.1161141,16.854256,54.105785,770759.4,732121.5,645766.75,1218.75,1195.3125,1148.4375,5
2345.0234,5501590.5,0.3553396761417389,17.319565,7.0100703,2.0503414,14.373037,47.22791,1067443.4,887649.25,829612.3,1148.4375,1125.0,1078.125,5
2256.6824,5095044.5,0.36814337968826294,19.977283,7.2844896,2.2312071,16.253204,56.580414,902792.56,859750.75,847859.5,1148.4375,1171.875,1125.0,5
2280.6096,5203399.5,0.36989259719848633,19.169441,7.2080636,2.0913308,15.074445,48.85138,1006012.1,836845.0,798105.94,1148.4375,1125.0,1078.125,5
1418.9087,2014271.8,-0.7872503995895386,22.377373,7.919417,1.8069347,14.30987,45.020203,538753.7,536939.25,429965.34,1195.3125,1148.4375,1335.9375,5
862.6341,744404.3,0.10779757797718048,4.3231807,4.0994363,1.4248241,5.8409753,15.924162,228989.05,223995.27,206306.67,1289.0625,1125.0,1218.75,5
1062.235,1128893.8,0.4099752902984619,7.8896174,6.789671,1.477163,10.02945,25.688879,358446.22,327541.0,303558.25,1148.4375,1218.75,1101.5625,5
1010.93976,1022495.5,0.46171143651008606,9.37899,7.13418,1.5745157,11.232878,30.264107,313735.56,281624.5,230389.39,1171.875,1101.5625,1148.4375,5
2098.628,4404857.0,0.6712061762809753,17.096685,7.617125,2.0668437,15.743408,49.923702,802407.3,741718.9,691910.75,1148.4375,1078.125,1406.25,5
2119.397,4493839.5,0.6168633699417114,16.438253,7.542481,2.0247355,15.271528,47.96302,887197.8,753640.4,701429.06,1148.4375,1125.0,1218.75,5
2026.9114,4110374.2,0.636962890625,19.178114,7.886636,2.1732798,17.139866,56.037457,763814.56,726094.1,700438.9,1125.0,1101.5625,1148.4375,5
2038.1426,4156051.2,0.6227775812149048,18.759714,7.8431764,2.090457,16.395823,50.426632,812907.25,718070.6,700329.44,1148.4375,1125.0,1171.875,5
844.2621,711518.0,0.15389956533908844,5.4392433,5.307712,1.4696248,7.800345,20.259344,283789.5,233127.03,210210.6,1476.5625,1500.0,1148.4375,5
1252.1329,1568225.8,0.34897634387016296,13.391749,7.3039246,1.7145885,12.523226,36.22706,484797.97,411626.7,389342.62,1148.4375,1195.3125,1171.875,5
1311.1659,1719993.1,0.24418304860591888,11.689333,6.975078,1.6746742,11.680983,33.66299,609177.9,445517.34,404414.9,1148.4375,1171.875,1195.3125,5
1291.4576,1668658.5,0.2594744563102722,12.389718,7.081521,1.7585914,12.453502,38.13479,530133.06,515890.38,355935.03,1148.4375,1171.875,1523.4375,5
2097.9048,4402565.5,0.6473578810691833,12.367847,6.944649,1.9080602,13.250809,38.402924,1087302.2,865463.06,772316.56,1148.4375,1078.125,1125.0,5
1851.7494,3429739.8,0.8372789621353149,17.71447,7.8678102,2.0505178,16.133083,46.912216,713058.7,700859.6,682571.2,1148.4375,1078.125,1125.0,5
1807.0826,3266938.0,0.9108060598373413,19.344254,8.0622835,2.1557336,17.380136,52.09624,713441.0,707715.6,600542.8,1125.0,1101.5625,1148.4375,5
1811.4503,3282780.5,0.9026945233345032,19.156853,8.042845,2.099574,16.886547,47.875404,753060.94,666762.9,662552.9,1125.0,1148.4375,1101.5625,5
745.77625,556387.1,0.2329980880022049,5.483943,4.3271227,1.4956236,6.4717464,17.383942,239671.67,210660.44,180331.47,1476.5625,1171.875,1500.0,5
1424.976,2031191.1,0.11775475740432739,13.080463,6.939734,1.8222712,12.646078,38.29821,587170.2,515855.8,460033.34,1125.0,1101.5625,1148.4375,5
1451.4631,2107721.8,0.09478156268596649,12.247299,6.8130937,1.7721665,12.073936,35.882515,657700.8,532404.2,526611.94,1125.0,1101.5625,1148.4375,5
1446.5765,2093564.8,0.0981317088007927,12.411463,6.8361087,1.8142555,12.402448,38.590466,671899.5,516402.66,508072.12,1125.0,1101.5625,1148.4375,5
1961.4259,3848963.5,0.0255026463419199,10.16902,5.8668227,1.8074694,10.604102,36.627567,1052522.9,739781.5,728097.2,1148.4375,1125.0,1078.125,5
1553.5181,2414317.5,-0.04092566668987274,16.925245,7.4072766,1.89987,14.072863,47.583176,663288.8,648479.25,474162.16,1148.4375,1125.0,1195.3125,5
1528.988,2338926.0,-0.03500375896692276,17.959644,7.526114,1.9596285,14.748386,50.536163,686317.6,591678.7,469774.16,1125.0,1148.4375,1101.5625,5
1526.2662,2330613.0,-0.037302255630493164,18.086765,7.539535,1.9785441,14.917303,51.46513,666859.94,575043.25,462769.6,1125.0,1148.4375,1101.5625,5
714.983,511358.62,0.08429459482431412,6.40072,4.9371076,1.5621547,7.7125263,22.454943,176526.86,166557.22,162287.66,1148.4375,1101.5625,1476.5625,5
1525.3009,2327637.2,0.048916175961494446,18.284018,7.916569,2.0557826,16.274744,53.301086,550336.9,541366.06,454590.34,1125.0,1101.5625,1054.6875,5
1526.8545,2332421.2,0.05690035596489906,18.210878,7.908514,2.0482612,16.198704,53.37028,566032.3,537493.4,440701.62,1125.0,1101.5625,1382.8125,5
1528.0146,2335945.2,0.05060860514640808,18.155931,7.9025097,2.0407846,16.12732,53.266914,547915.1,546095.3,445982.66,1125.0,1101.5625,1382.8125,5
2029.9158,4122559.5,0.03650574013590813,9.242576,5.948597,1.8535336,11.025925,36.98885,1049179.9,948352.94,680655.9,1148.4375,1078.125,1125.0,5
1514.9216,2296084.8,0.042256105691194534,11.264516,5.536896,1.864367,10.322806,36.535843,667313.0,637097.8,543910.56,1148.4375,1125.0,1101.5625,5
1514.121,2293678.8,0.029594536870718002,11.286549,5.539824,1.8542097,10.271996,35.44748,677446.25,634026.25,539339.5,1148.4375,1125.0,1101.5625,5
1518.1616,2305907.2,0.042904797941446304,11.1720085,5.5250797,1.8427551,10.181369,35.056194,654479.8,617547.9,545866.7,1148.4375,1125.0,1078.125,5
752.89136,567119.7,0.20316047966480255,4.9584613,4.668204,1.5090545,7.044574,18.399456,267050.9,200188.39,175643.72,1171.875,1476.5625,1429.6875,5
1689.1049,2854461.2,1.3222570419311523,21.187027,8.809808,2.0218384,17.812008,51.295628,643567.56,638536.7,565553.75,1195.3125,1171.875,1125.0,5
1689.3179,2855156.8,1.3190010786056519,21.168394,8.808697,2.0333266,17.910957,52.693462,653759.6,639514.5,584656.0,1195.3125,1171.875,1125.0,5
1769.4989,3132345.5,1.2161942720413208,18.196844,8.40955,1.9719287,16.583033,48.8781,691324.8,578387.25,555469.44,1195.3125,1148.4375,1406.25,5
1964.2157,3859907.8,0.8271222114562988,13.276887,7.575894,1.8781717,14.228829,41.977833,1003337.06,763329.4,743555.06,1148.4375,1125.0,1078.125,5
1235.3613,1526832.4,-0.09604708850383759,11.260562,5.6505065,1.7924982,10.128523,32.94951,476378.94,457160.62,387612.12,1125.0,1148.4375,1195.3125,5
1242.9072,1545572.2,-0.08408279716968536,10.991241,5.6162014,1.7352395,9.745455,30.14845,496677.62,450025.97,418472.75,1148.4375,1125.0,1195.3125,5
1119.7993,1254524.1,-0.4499019682407379,12.647809,5.8745017,1.747422,10.265234,32.174133,412873.6,372593.56,341036.62,1148.4375,1125.0,1195.3125,5
645.76086,416824.16,0.04139154031872749,5.0321107,4.3205614,1.4580325,6.299519,16.48503,186963.8,140545.69,140221.11,1500.0,375.0,1523.4375,5
1844.9125,3405353.8,0.7347663640975952,21.41673,8.671656,2.1602106,18.732603,59.53413,700582.8,660373.8,644012.9,1218.75,1148.4375,1125.0,5
1838.0505,3380047.8,0.7471339702606201,21.740685,8.704029,2.2374246,19.474607,65.85054,666919.44,663807.1,645532.8,1125.0,1218.75,1101.5625,5
1917.634,3679111.8,0.7014243602752686,18.59624,8.342804,2.0673275,17.247309,56.389107,814281.94,780894.3,681803.7,1218.75,1148.4375,1078.125,5
1958.6694,3838170.0,0.6638412475585938,17.154118,8.168017,1.9634852,16.03778,50.859257,838347.75,824982.0,732333.3,1148.4375,1218.75,1078.125,5
923.7022,853641.2,0.3224649131298065,7.20376,5.733824,1.580755,9.063771,23.412682,450177.6,425849.3,284241.8,1101.5625,1125.0,1195.3125,5
960.9462,923854.6,0.31863802671432495,6.3540063,5.5115943,1.500073,8.267794,20.253916,463428.3,420909.22,307576.25,1101.5625,1125.0,1218.75,5
793.36536,629666.06,-0.15955577790737152,4.906743,3.60326,1.4710084,5.3004255,16.598116,375176.0,252409.4,238747.14,1101.5625,1125.0,1242.1875,5
1065.4382,1135474.6,-1.1535590887069702,28.078196,7.315017,1.8910446,13.833024,50.671165,253036.58,249277.02,244289.42,1687.5,1546.875,1617.1875,5
1740.3276,3030160.0,0.5760071873664856,17.70306,8.323619,2.046716,17.036083,51.078815,663173.1,646572.2,544830.1,1125.0,1148.4375,1078.125,5
1721.4629,2964864.8,0.5807012915611267,18.46633,8.414834,2.1539862,18.125437,57.88927,670179.4,579954.44,550794.0,1125.0,1148.4375,1101.5625,5
1750.5537,3065740.5,0.5620349645614624,17.319784,8.274996,2.0455468,16.92689,52.43025,705086.7,638283.06,601777.5,1148.4375,1125.0,1078.125,5
1559.3964,2432808.2,1.1201473474502563,21.522877,9.289379,1.9909865,18.495028,50.654266,609779.56,546546.56,512060.22,1148.4375,1078.125,1125.0,5
736.8644,543184.6,-0.21055686473846436,4.510673,3.7126527,1.4840842,5.509889,16.445827,260845.12,195817.47,180425.1,1125.0,1148.4375,1382.8125,5
894.315,800187.8,0.24613192677497864,5.957722,5.72503,1.4977612,8.574727,21.503057,315374.06,309922.9,307998.03,1265.625,1195.3125,1148.4375,5
840.0494,705830.4,0.33287903666496277,7.002697,6.094856,1.5491998,9.44215,23.974356,304417.28,263420.22,262984.56,1171.875,1265.625,1101.5625,5
1509.9336,2280977.2,0.6395654678344727,16.967117,7.3412423,1.98818,14.595712,44.784187,524641.9,492430.12,478616.9,1218.75,1078.125,1289.0625,5
1661.3789,2761265.2,0.2237188220024109,13.181306,6.672041,1.9407778,12.948949,40.18872,707282.25,597449.9,541377.7,1148.4375,1078.125,1218.75,5
1580.693,2499605.0,0.18853764235973358,15.683353,7.012613,2.1110601,14.804048,48.536404,579187.1,578968.0,520028.88,1125.0,1101.5625,1171.875,5
1603.6172,2572406.2,0.18802790343761444,14.827955,6.9123654,1.9756944,13.656722,41.774128,669248.1,587154.25,527883.7,1148.4375,1125.0,1078.125,5
997.0244,994474.7,-1.2620869874954224,13.526625,4.317014,1.6948622,7.316744,29.074308,353215.66,340865.38,290675.06,1148.4375,1078.125,1195.3125,5
717.86694,515410.9,0.15356381237506866,5.054553,4.369206,1.4653583,6.402452,17.066177,224875.3,208465.66,166412.06,1148.4375,1523.4375,1429.6875,5
897.2696,805474.06,-0.009989608079195023,7.962366,5.8490725,1.4985222,8.764965,25.349436,366655.7,293147.47,291717.1,1148.4375,1078.125,1195.3125,5
847.30927,718215.6,-0.008199113421142101,9.733961,6.1939545,1.6115704,9.981993,30.567816,253792.77,227658.83,219000.77,1148.4375,1195.3125,1500.0,5
1451.3716,2106976.5,0.35522449016571045,17.99841,8.556732,1.9369764,16.574188,47.689903,558909.1,544300.4,369404.94,1148.4375,1078.125,1218.75,5
1441.2854,2077972.1,0.36567509174346924,18.459023,8.616612,1.9620017,16.905807,49.250374,564009.75,553286.7,404834.84,1148.4375,1078.125,1218.75,5
1337.399,1789495.2,0.45098504424095154,23.678629,9.2859335,2.132409,19.801409,59.94037,460491.0,451260.44,372280.75,1101.5625,1125.0,1171.875,5
1344.7278,1809174.5,0.43756452202796936,23.166882,9.235325,2.0510654,18.942255,54.0688,460976.53,424913.44,415455.28,1125.0,1101.5625,1148.4375,5
611.73016,373276.56,0.4291754364967346,6.586279,5.1334844,1.5254741,7.830997,21.10906,230303.42,158460.16,140604.31,1476.5625,1500.0,1031.25,5
980.041,960086.0,0.8232547044754028,17.100487,7.6700935,1.8555849,14.23251,40.764256,328540.2,312938.6,268404.97,1195.3125,1406.25,1312.5,5
1064.5428,1133709.1,0.615331768989563,13.717874,7.061253,1.8008697,12.716396,36.408195,405840.53,352149.9,325913.06,1125.0,1148.4375,1406.25,5
1055.8818,1115373.9,0.6388722658157349,14.167798,7.119174,1.8711505,13.321045,40.313534,394214.88,341567.0,336307.22,1125.0,1171.875,1148.4375,5
1716.9263,2949191.8,0.32215023040771484,11.716118,6.300223,1.9366494,12.2013235,42.25843,904324.44,715343.06,711039.8,1148.4375,1125.0,1078.125,5
1527.0488,2332654.2,0.2377365678548813,15.929835,7.08361,2.0243638,14.339804,49.170383,747820.6,705774.7,559841.8,1148.4375,1125.0,1195.3125,5
1467.7012,2155166.0,0.2624342441558838,18.264036,7.3700414,2.1436605,15.798867,55.861614,651917.3,648279.25,483722.2,1148.4375,1125.0,1101.5625,5
1468.7648,2158259.0,0.2670164108276367,18.21361,7.3647046,2.116422,15.586822,53.091064,674261.9,654141.3,470811.62,1148.4375,1125.0,1101.5625,5
597.23517,356862.38,-0.059094227850437164,4.919284,3.6834908,1.5047582,5.5427628,16.677927,176702.11,162635.17,161196.88,1476.5625,1101.5625,1148.4375,5
974.2075,949536.8,0.14406006038188934,14.640045,7.5532026,1.8104243,13.674501,38.929382,318050.6,283159.0,280276.34,1125.0,1101.5625,1453.125,5
986.5499,973750.1,0.10173384845256805,14.040461,7.458707,1.7826723,13.29643,37.515778,349855.06,308523.72,268628.78,1125.0,1101.5625,1148.4375,5
982.83405,966381.7,0.08730985969305038,14.250904,7.4869065,1.827951,13.6856985,40.389126,351880.2,304847.66,257237.33,1125.0,1101.5625,1171.875,5
1424.7826,2030975.8,-0.01289739552885294,9.323032,5.405578,1.8554759,10.02992,31.71181,755464.75,623661.3,514154.0,1148.4375,1078.125,1125.0,5
1174.5515,1380245.5,-0.090675950050354,13.515293,6.557204,1.979989,12.9831915,40.811005,493576.53,491854.8,453003.12,1125.0,1148.4375,1078.125,5
1165.229,1358421.8,-0.0701577439904213,13.892614,6.609665,2.0012581,13.227646,41.32999,480342.12,478588.62,471161.44,1148.4375,1125.0,1101.5625,5
1165.9991,1360207.9,-0.062188830226659775,13.855709,6.6052995,1.9859883,13.118048,40.15079,501173.44,478094.12,463424.2,1148.4375,1125.0,1101.5625,5
489.41623,239609.27,-0.05869182199239731,5.095727,4.3637986,1.4744836,6.4343495,19.177172,122757.33,119114.14,110681.03,1476.5625,1335.9375,1359.375,5
1122.4664,1260524.5,0.863497793674469,22.983665,8.043854,2.013812,16.19881,48.83148,444170.66,418888.25,348794.75,1101.5625,1125.0,1171.875,5
1122.8275,1261348.0,0.8665177226066589,22.959408,8.041267,2.0122786,16.18127,49.039436,456662.28,412511.7,338366.97,1101.5625,1125.0,1171.875,5
1130.8864,1279356.0,0.8483952283859253,22.337847,7.983964,2.0143883,16.082804,49.961834,476426.53,396780.38,343173.28,1101.5625,1125.0,1171.875,5
1439.2118,2072305.9,0.42467230558395386,11.462116,6.2735424,1.8309666,11.486646,36.024593,738284.94,625766.0,555281.75,1148.4375,1078.125,1218.75,5
1046.2946,1095246.2,0.016082927584648132,10.882411,5.699266,1.7783096,10.135059,31.573582,409619.06,396570.28,384592.25,1101.5625,1195.3125,1171.875,5
1049.9755,1102986.9,0.00575012993067503,10.731678,5.679286,1.7381861,9.871655,29.496151,431979.22,416195.38,389939.44,1101.5625,1195.3125,1148.4375,5
1041.6628,1085499.9,-0.0017870317678898573,11.008942,5.7246075,1.7351872,9.933266,29.31503,440488.16,388669.12,388339.16,1101.5625,1195.3125,1148.4375,5
561.4418,315363.16,0.11184502393007278,4.7957177,3.8528748,1.4535457,5.6003294,15.641984,142472.2,139973.77,135164.62,1546.875,1476.5625,1078.125,5
1264.5416,1599824.1,0.2353294938802719,21.560755,8.279348,2.0275753,16.787003,53.17884,481015.84,428589.66,420068.94,1148.4375,1125.0,1054.6875,5
1260.1085,1588618.5,0.2363375872373581,21.863531,8.3084755,2.0884888,17.352158,57.916576,451096.0,421092.06,420817.06,1148.4375,1054.6875,1125.0,5
1315.3848,1731081.6,0.2457699030637741,19.071712,7.9593296,2.0356069,16.202066,54.71876,492603.88,440001.66,431339.47,1148.4375,1125.0,1078.125,5
1380.5829,1906937.1,0.34459182620048523,16.312866,7.58345,1.9558989,14.832461,49.701424,571327.94,560646.9,442470.5,1078.125,1148.4375,1125.0,5
785.8353,617814.0,0.9081599712371826,12.074966,7.1177597,1.7002727,12.102133,32.634422,245021.48,217631.94,212541.72,1101.5625,1125.0,1265.625,5
801.4331,642607.1,0.8742009401321411,11.231389,6.9792314,1.635125,11.411916,29.600866,249917.97,247817.28,225658.27,1265.625,1101.5625,1195.3125,5
707.7074,501029.06,1.065163493156433,10.615864,7.9035306,1.5846238,12.524123,25.988207,216502.48,187954.05,175751.23,937.5,1101.5625,1031.25,5
555.1,308078.6,0.33540499210357666,5.226356,4.796201,1.4802368,7.099513,18.535545,170616.12,151727.72,137044.8,1171.875,1195.3125,1476.5625,5
1180.9856,1395404.2,0.8456612825393677,19.996075,9.357376,1.9802812,18.530237,49.36125,473639.44,469543.3,405716.03,1125.0,1148.4375,1078.125,5
1171.6621,1373461.4,0.8709600567817688,20.63827,9.431838,2.0477016,19.31359,53.645306,460135.62,433263.7,405211.1,1125.0,1148.4375,1101.5625,5
1233.9875,1523390.8,0.7841744422912598,17.183512,8.955461,1.9092233,17.097975,46.311516,549969.5,506933.5,435973.22,1148.4375,1078.125,1125.0,5
1252.7072,1569838.2,0.7389851212501526,16.28652,8.821636,1.8787229,16.57341,44.786884,628274.5,519078.44,424198.12,1148.4375,1078.125,1125.0,5
725.7217,526915.3,0.08832385390996933,6.4926915,5.427232,1.561932,8.476967,23.099226,294117.03,234848.95,221134.11,1125.0,1148.4375,1054.6875,5
769.94867,593103.5,0.06643734127283096,5.621933,5.1154838,1.5019376,7.683138,20.177334,325222.56,225978.66,223035.48,1125.0,1148.4375,1195.3125,5
668.77997,447352.5,-0.04993778094649315,5.399923,4.466897,1.5058539,6.726494,20.078527,204671.8,186810.75,184228.4,1125.0,1546.875,1523.4375,5
1051.0679,1105154.6,0.9277748465538025,31.200724,10.366761,1.9343278,20.052715,58.707344,296279.3,287331.25,264975.2,1218.75,1546.875,1406.25,5
1390.5488,1934462.5,0.855363667011261,19.115818,7.8358774,1.9924375,15.612495,48.713024,432241.66,429341.66,405620.06,1078.125,1148.4375,1101.5625,5
