RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
363.50854,132202.95,-0.16286462545394897,30.209984,8.4914875,3.921888,33.302666,669.4935,73361.92,72875.79,72301.49,1382.8125,1359.375,1406.25,2
1838.4412,3381275.5,0.5025037527084351,13.093852,6.655215,2.3450599,15.606876,99.52334,444301.06,428412.4,394451.5,398.4375,1875.0,1898.4375,2
2319.5857,5382484.5,0.0910884439945221,7.193148,5.274744,1.7342002,9.147462,34.294567,595405.1,595128.0,488848.1,398.4375,375.0,1898.4375,2
2361.4824,5578906.0,0.0814068540930748,6.7223964,5.181161,1.5982108,8.280587,24.3726,636810.1,619358.2,484784.06,375.0,398.4375,1921.875,2
2358.502,5564176.5,0.09258391708135605,6.7536073,5.1877084,1.5792584,8.192733,22.552517,593543.7,556794.0,488061.1,375.0,398.4375,3210.9375,2
2057.4517,4234613.5,-0.35616588592529297,6.100589,3.5702658,1.5194113,5.424702,19.643322,488558.34,429110.28,395535.4,867.1875,515.625,3914.0625,2
2060.809,4249001.0,-0.1300003081560135,5.7519946,4.7706943,1.5124884,7.2156196,22.09953,559470.1,552998.5,496377.62,398.4375,375.0,515.625,2
2047.7993,4195507.0,-0.12337283045053482,5.874382,4.801003,1.522821,7.3110676,22.496069,631938.5,619434.94,439034.53,398.4375,375.0,515.625,2
2049.0479,4200648.0,-0.13339374959468842,5.8688807,4.7980776,1.5221156,7.303229,22.490124,625551.8,533742.4,435888.06,398.4375,375.0,492.1875,2
2133.958,4555529.0,-0.2171030193567276,5.0980043,4.607162,1.5139925,6.9752088,18.69559,601066.2,519213.75,513266.34,421.875,1171.875,398.4375,2
2195.3591,4821683.5,-0.0034141053911298513,6.6869736,6.109616,1.5524765,9.485035,22.947495,689466.6,658253.0,627154.94,375.0,398.4375,1335.9375,2
2199.1787,4838628.5,-0.0027468116022646427,6.6428,6.0990043,1.549098,9.447955,22.868666,746593.75,710284.94,645200.3,398.4375,375.0,1335.9375,2
2212.4983,4897527.5,-0.009052051231265068,6.498422,6.0622873,1.5363876,9.314023,22.422344,700272.6,635751.44,618319.75,398.4375,1335.9375,2039.0625,2
2142.2651,4591295.0,0.28171905875205994,7.0175653,6.261037,1.550947,9.710536,23.37716,591971.44,583315.4,515732.75,2156.25,2179.6875,421.875,2
2085.3313,4350731.0,0.17911386489868164,6.228207,5.2172704,1.5402126,8.035706,22.355114,733142.4,518754.3,514537.38,398.4375,421.875,2320.3125,2
2080.0852,4328789.0,0.1825338900089264,6.2950478,5.2304287,1.5542991,8.129651,22.850954,768864.6,577683.8,519473.12,398.4375,375.0,2320.3125,2
2071.2007,4291748.5,0.18586011230945587,6.391352,5.252865,1.5599918,8.194427,23.026794,663717.1,544739.75,526310.7,398.4375,375.0,2226.5625,2
