RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
234.621124,55073.707031,-1.115777,27.061928,7.970211,3.793975,30.238779,576.050537,53676.085938,52982.203125,52462.832031,867.187500,843.750000,890.625000,3
980.402710,961637.312500,-0.373184,11.969972,5.274061,2.281638,12.033500,87.560928,236665.593750,232806.078125,216415.625000,1125.000000,703.125000,1148.437500,3
1375.965210,1894140.500000,-0.203070,5.877899,4.317555,1.684786,7.274156,28.761326,417769.187500,361862.781250,354587.281250,726.562500,2929.687500,1171.875000,4
1405.750244,1976887.375000,-0.185676,5.452553,4.226075,1.563628,6.608009,20.793949,427847.031250,403605.031250,360181.812500,726.562500,2929.687500,1171.875000,4
1407.863037,1982677.625000,-0.177953,5.424066,4.219733,1.545792,6.522830,19.435650,396029.968750,394869.031250,361535.343750,726.562500,2929.687500,1171.875000,4
1367.866577,1871444.500000,-0.046882,5.390228,4.608354,1.537210,7.084007,19.610338,382369.218750,350474.562500,308027.093750,2929.687500,2906.250000,1101.562500,4
1214.977173,1476648.000000,0.124449,5.750091,5.338845,1.516035,8.093877,21.733873,364925.937500,364324.968750,278717.375000,2929.687500,1101.562500,1476.562500,3
1197.903320,1435592.500000,0.131773,5.989370,5.414940,1.530711,8.288710,22.343807,363323.968750,358048.875000,270426.937500,2929.687500,1101.562500,1476.562500,4
1191.524536,1420384.000000,0.140276,6.094940,5.443929,1.541548,8.392077,22.752110,368207.093750,354347.062500,260701.390625,2929.687500,1101.562500,375.000000,3
1117.946167,1249916.625000,0.089679,5.720335,5.802225,1.528697,8.869844,22.093925,358273.781250,291371.062500,214044.593750,2929.687500,2906.250000,2976.562500,3
1257.512817,1582084.750000,-0.291118,7.264043,4.439186,1.594025,7.076175,24.832441,361213.562500,309172.593750,264474.812500,2929.687500,1101.562500,2953.125000,4
1276.878784,1631214.875000,-0.273638,6.882027,4.371858,1.566294,6.847617,23.913660,363906.468750,359888.062500,311620.750000,1101.562500,2929.687500,1453.125000,4
1280.088867,1639399.625000,-0.284225,6.827633,4.360895,1.559086,6.799010,23.561253,380112.718750,335791.625000,332455.718750,1101.562500,2929.687500,1453.125000,4
1257.674561,1582053.500000,-0.086204,6.769851,4.438615,1.536628,6.820500,23.433409,448689.125000,352082.562500,313061.375000,1101.562500,937.500000,960.937500,4
1073.344238,1152566.625000,0.255680,4.773873,4.593142,1.480311,6.799276,17.030308,256326.218750,247961.890625,241174.515625,1101.562500,1476.562500,2929.687500,4
1049.216431,1101391.750000,0.265870,5.089344,4.698766,1.499228,7.044520,17.658197,267460.625000,265347.437500,240497.312500,1453.125000,2929.687500,820.312500,4
1043.806519,1090022.000000,0.280956,5.170538,4.723119,1.504131,7.104189,17.842636,262631.968750,254225.671875,228011.906250,1453.125000,2929.687500,937.500000,3
1054.701294,1112654.625000,-0.404354,7.201834,4.371830,1.530508,6.691122,25.408474,297970.562500,296854.593750,242998.093750,1476.562500,2929.687500,796.875000,4
1176.914185,1385801.875000,-0.431294,9.207853,4.925559,1.605421,7.907595,26.914850,350585.937500,301075.875000,299335.843750,1476.562500,2929.687500,1453.125000,4
1180.045776,1393187.000000,-0.426934,9.121969,4.912488,1.603181,7.875606,26.790812,346449.468750,321662.562500,294433.343750,1476.562500,1453.125000,2929.687500,4
1185.927490,1407106.750000,-0.427943,8.963592,4.888124,1.591179,7.777882,26.352276,307546.718750,294762.593750,286161.218750,2929.687500,1476.562500,1500.000000,4
1189.504272,1415489.750000,-0.217943,8.007626,4.873425,1.579696,7.698532,26.117012,312514.406250,302927.843750,293800.968750,1101.562500,2929.687500,1570.312500,3
1052.961914,1109223.375000,-0.115824,5.513159,4.095889,1.494995,6.123334,20.698183,365040.812500,265834.875000,246509.578125,2929.687500,1101.562500,2953.125000,4
1051.335449,1105847.000000,-0.098284,5.530822,4.102226,1.494465,6.130635,20.752977,415203.093750,278609.031250,265138.937500,2929.687500,1101.562500,1476.562500,4
1040.070435,1082272.500000,-0.094342,5.730315,4.146657,1.511136,6.266163,21.403738,375406.000000,274514.250000,247850.984375,2929.687500,1101.562500,1476.562500,4
994.797241,990105.250000,-0.070430,5.110053,3.490453,1.507365,5.261385,16.933939,279796.906250,250862.312500,222504.562500,2929.687500,2906.250000,984.375000,3
1070.023804,1145416.250000,-0.047442,5.471610,4.610975,1.529235,7.051265,19.798306,308006.562500,225390.796875,221178.218750,2929.687500,1476.562500,1171.875000,3
