RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.002669,0.000007,2.236254,48.825752,11.359770,4.631754,52.615662,922.942383,0.736240,0.731298,0.729793,398.437500,421.875000,375.000000,0
0.044714,0.001984,0.885542,15.352968,7.710760,2.078932,16.030144,48.525539,22.981339,22.154453,19.589590,398.437500,375.000000,421.875000,2
0.092877,0.008630,0.370611,6.755996,4.784625,1.812572,8.672476,32.004822,67.788094,62.047455,38.945480,398.437500,375.000000,421.875000,3
0.100100,0.010009,0.505125,4.882084,4.259501,1.490843,6.350247,16.835855,87.217125,72.980255,27.331057,398.437500,375.000000,421.875000,3
0.091939,0.008457,0.149001,4.147371,4.262089,1.441589,6.144181,14.859779,82.019447,63.992500,22.522848,398.437500,375.000000,421.875000,3
0.090585,0.008209,0.048060,4.347101,3.994296,1.462068,5.839932,14.978561,79.068413,66.476479,20.273586,398.437500,375.000000,421.875000,3
0.094477,0.008918,0.252811,4.529587,4.024372,1.453305,5.848639,15.660483,84.632446,65.665421,24.613901,398.437500,375.000000,421.875000,3
0.100921,0.010188,0.221354,4.043633,3.353522,1.465077,4.913167,13.554670,89.906937,68.527267,30.294964,398.437500,375.000000,421.875000,3
0.101159,0.010236,0.017199,4.633931,3.783377,1.473151,5.573488,16.874184,91.117180,76.607674,23.639994,398.437500,375.000000,421.875000,3
0.096696,0.009337,-0.100548,4.252566,4.046871,1.463388,5.922143,16.081366,90.483986,67.032021,32.012169,398.437500,375.000000,421.875000,3
0.093810,0.008795,0.117177,5.064584,4.733369,1.482469,7.017072,17.749083,82.416145,67.424767,20.177454,398.437500,375.000000,421.875000,3
0.090210,0.008085,0.441964,4.444527,4.460515,1.458144,6.504074,16.237835,81.309105,61.657288,26.145206,398.437500,375.000000,421.875000,3
0.090699,0.008073,0.384523,4.441698,4.064589,1.476768,6.002453,16.922302,78.850914,63.752254,25.691277,398.437500,375.000000,0.000000,3
0.085761,0.007358,0.064285,4.476268,4.281974,1.449951,6.208653,15.489361,75.230621,60.310932,21.254366,398.437500,375.000000,421.875000,3
0.085692,0.007345,-0.022065,4.155927,3.384972,1.454781,4.924394,14.438935,74.678299,60.697941,20.985676,398.437500,375.000000,421.875000,3
0.089527,0.008018,0.107722,4.602948,3.864773,1.477295,5.709409,15.937636,75.890465,61.853619,19.874422,398.437500,375.000000,421.875000,3
0.089331,0.007983,0.141931,4.530324,4.933353,1.455244,7.179231,18.024055,79.162529,59.579372,26.733459,398.437500,375.000000,421.875000,3
0.089957,0.008012,0.500676,4.516645,4.525373,1.464258,6.626313,15.966408,79.101601,64.744072,20.494900,398.437500,375.000000,421.875000,3
0.088002,0.007748,0.173469,5.338747,4.404189,1.479659,6.516696,17.976402,77.739594,63.035030,25.016254,398.437500,375.000000,421.875000,3
0.086698,0.007520,0.100481,4.374219,3.888602,1.457277,5.666770,16.013550,77.450233,59.451584,19.692726,398.437500,375.000000,421.875000,3
0.090021,0.008107,0.158679,4.622463,3.474390,1.476876,5.131242,15.594284,80.248543,62.951229,24.300295,398.437500,375.000000,421.875000,3
0.091221,0.008311,0.331411,4.309896,3.865910,1.461065,5.648346,15.453448,82.666000,63.869976,26.629715,398.437500,375.000000,421.875000,3
0.091373,0.008336,0.108963,4.084752,3.463227,1.429683,4.951318,14.471488,82.245338,65.228271,22.196684,398.437500,375.000000,421.875000,3
0.095635,0.009020,0.284598,4.065975,3.657645,1.465604,5.360660,14.174006,86.308060,72.101875,24.763969,398.437500,375.000000,421.875000,3
0.094279,0.008877,0.021010,3.927059,2.913413,1.455268,4.239796,12.940825,88.368340,66.340248,30.113024,398.437500,375.000000,421.875000,3
0.093332,0.008715,-0.091353,4.836270,3.833667,1.480929,5.677390,15.213880,79.089546,68.665306,20.322803,398.437500,375.000000,421.875000,3
0.091414,0.008343,0.104069,4.222034,4.408000,1.444510,6.367401,17.140903,80.274605,61.039539,21.988808,398.437500,375.000000,421.875000,3
0.093395,0.008714,0.156264,4.350369,3.614282,1.470194,5.313697,14.836365,85.937820,66.990517,29.154305,398.437500,375.000000,421.875000,3
0.091001,0.008274,-0.021419,4.341273,4.195140,1.450939,6.086894,16.290977,84.706337,66.553650,24.508911,398.437500,375.000000,421.875000,3
0.093119,0.008662,0.091011,4.554176,3.878602,1.484032,5.755970,16.485857,84.655365,64.725410,25.924109,398.437500,375.000000,421.875000,3
0.094156,0.008870,0.104946,5.126382,3.769874,1.493293,5.629528,17.640905,82.669327,68.632835,22.631121,398.437500,375.000000,421.875000,3
0.095836,0.009035,0.549166,4.737931,4.142577,1.493075,6.185176,16.984186,83.602013,64.891098,25.481550,398.437500,375.000000,421.875000,3
0.092892,0.008621,0.309364,4.215824,3.836188,1.460670,5.603404,15.264650,82.466805,67.182556,24.887197,398.437500,375.000000,421.875000,3
0.089298,0.007966,-0.001461,4.408142,3.926902,1.434714,5.633981,15.249256,79.208710,62.870068,21.567753,398.437500,375.000000,421.875000,3
0.089861,0.008079,-0.099372,3.847010,3.542476,1.427723,5.057675,14.040156,79.591072,66.133270,20.734308,398.437500,375.000000,421.875000,3
0.093773,0.008718,0.220007,4.438336,3.992175,1.457599,5.818989,15.163963,80.698456,69.771980,23.038275,398.437500,375.000000,421.875000,3
0.090439,0.008179,-0.006113,4.064663,4.294676,1.433178,6.155036,15.753044,82.488373,62.389362,22.066456,398.437500,375.000000,421.875000,3
0.094800,0.008991,-0.153184,4.970305,3.853693,1.485688,5.725384,18.163651,83.801765,67.353767,28.262764,398.437500,375.000000,421.875000,3
0.094514,0.008879,0.361551,4.132582,3.717679,1.456690,5.415505,14.103163,83.192909,64.308365,22.886150,398.437500,375.000000,1570.312500,3
0.094886,0.008994,0.269493,5.050486,4.292969,1.486428,6.381192,18.679792,82.844925,64.336105,28.529474,398.437500,375.000000,421.875000,3
0.091991,0.008413,0.385422,4.237417,4.150587,1.456904,6.047008,15.622062,81.968765,66.797127,21.167885,398.437500,375.000000,421.875000,3
0.088841,0.007887,0.137578,3.864948,3.546862,1.421493,5.041841,13.214764,82.114159,62.869762,25.426786,398.437500,375.000000,421.875000,3
0.093540,0.008750,0.138676,3.925314,3.602284,1.433875,5.165225,13.565710,83.722466,71.584335,21.953945,398.437500,375.000000,421.875000,3
0.097773,0.009542,0.372709,4.246158,3.612809,1.456520,5.262130,14.149853,86.806435,73.970734,23.853212,398.437500,375.000000,421.875000,3
0.096844,0.009361,0.299971,4.220065,3.867281,1.452178,5.615981,14.120666,86.723412,71.093666,24.311855,398.437500,375.000000,421.875000,3
0.098588,0.009585,0.285819,4.270303,3.642119,1.454723,5.298275,15.882772,89.106232,66.742798,27.434778,398.437500,375.000000,421.875000,3
0.099639,0.009907,0.385742,4.833187,4.197917,1.485470,6.235878,15.946712,88.768845,67.948799,28.189619,398.437500,375.000000,421.875000,3
0.097062,0.009426,-0.092154,4.550363,3.929624,1.472781,5.787475,16.534374,84.963326,73.264023,21.830288,398.437500,375.000000,421.875000,3
0.092450,0.008535,0.042936,4.557234,4.292586,1.462508,6.277941,16.663734,83.477425,65.463219,23.735439,398.437500,375.000000,421.875000,3
0.091121,0.008166,0.384230,4.520407,4.646968,1.455109,6.761845,15.980492,82.663170,65.420204,24.305239,398.437500,375.000000,0.000000,3
0.092131,0.008471,0.283118,4.622428,3.828116,1.471038,5.631303,16.269602,83.059120,65.579155,26.743937,398.437500,375.000000,421.875000,3
0.092801,0.008602,0.293827,4.138230,3.475474,1.453760,5.052505,14.094167,81.199997,66.464523,18.766649,398.437500,375.000000,421.875000,3
0.094242,0.008875,0.141772,4.307808,3.603199,1.454456,5.240695,15.759253,84.652390,65.956680,28.158546,398.437500,375.000000,421.875000,3
0.093773,0.008784,0.308913,4.511936,3.932285,1.465302,5.761982,15.292397,85.102188,64.662056,27.079035,398.437500,375.000000,421.875000,3
0.095205,0.008901,0.528482,4.422976,4.085641,1.478969,6.042539,14.367004,80.650597,68.785217,26.488415,398.437500,375.000000,0.000000,3
0.093107,0.008656,0.285512,4.143759,3.823586,1.459942,5.582214,15.473217,83.494698,67.301483,28.083908,398.437500,375.000000,421.875000,3
0.089981,0.008084,0.264220,4.874137,5.216424,1.453792,7.583599,18.580296,80.564003,63.546852,22.562496,398.437500,375.000000,421.875000,3
0.091471,0.008368,0.066059,4.419350,3.550832,1.480829,5.258174,14.760134,78.685074,68.227158,21.054705,398.437500,375.000000,421.875000,3
0.095065,0.009025,0.068173,4.850634,3.766169,1.472407,5.545332,15.420352,82.600281,66.286324,24.291813,398.437500,375.000000,421.875000,3
0.093252,0.008687,0.246161,4.350111,4.352985,1.452006,6.320560,15.545391,81.138535,69.382095,21.157066,398.437500,375.000000,421.875000,3
0.087721,0.007675,0.083248,4.338345,3.474033,1.426852,4.956931,14.847512,77.943825,63.191257,23.309282,398.437500,375.000000,421.875000,3
