RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.001575,0.000002,2.599755,64.736458,13.157216,4.768207,62.736328,941.701660,0.249425,0.248619,0.247525,1617.187500,1593.750000,1640.625000,0
0.026748,0.000716,-0.341625,15.533429,6.905454,2.434013,16.807968,75.527473,6.087169,5.799768,5.556390,398.437500,375.000000,1359.375000,4
0.064599,0.004174,-0.392673,8.811824,4.549546,1.939941,8.825850,44.623600,18.406481,16.416416,14.714890,398.437500,375.000000,1875.000000,1
0.072409,0.005232,-0.162178,6.524927,4.746959,1.592997,7.561893,23.145731,19.443058,18.940874,14.792925,375.000000,398.437500,1921.875000,1
0.066676,0.004435,-0.209057,5.150303,3.474919,1.507283,5.237687,17.721226,16.288925,15.361142,14.716809,375.000000,796.875000,398.437500,1
0.066663,0.004392,0.232521,5.774002,4.525676,1.541996,6.978575,20.479881,18.851477,17.185827,16.181343,398.437500,2320.312500,2343.750000,1
0.062058,0.003836,0.242358,5.450625,4.442294,1.515039,6.730249,18.407879,19.191439,18.874226,12.996557,398.437500,375.000000,2343.750000,1
0.062521,0.003910,-0.121736,5.716351,4.584343,1.518983,6.963541,21.442694,19.272097,18.921141,13.397404,398.437500,375.000000,515.625000,1
0.063628,0.004050,-0.105825,5.443683,4.303124,1.520513,6.542954,19.499107,21.376442,17.064873,14.877875,398.437500,375.000000,1171.875000,1
0.061914,0.003834,-0.325741,5.039396,3.644310,1.494762,5.447376,17.843222,20.552341,19.399511,12.937176,398.437500,375.000000,2250.000000,1
0.064906,0.004215,-0.193639,5.343042,4.437457,1.515002,6.722755,19.010290,24.311861,22.826387,15.556358,375.000000,398.437500,1335.937500,1
0.067144,0.004510,0.002894,6.557031,6.127559,1.539396,9.432741,22.471050,22.802893,21.726219,19.693167,398.437500,375.000000,1335.937500,1
0.062983,0.003965,0.226041,4.696101,4.020919,1.487431,5.980840,16.175468,20.594559,15.154390,15.103096,398.437500,2390.625000,375.000000,1
0.063713,0.004061,0.347692,5.531146,5.029070,1.521406,7.651258,19.924103,17.514044,16.863823,14.918067,398.437500,375.000000,2343.750000,1
0.063774,0.004069,0.065642,5.892620,5.331791,1.533726,8.177507,22.857220,18.246469,18.035820,16.429646,398.437500,375.000000,2320.312500,1
0.063478,0.004031,0.232390,6.389976,5.503714,1.562083,8.597260,23.265974,23.476311,17.633497,15.859044,398.437500,375.000000,2320.312500,1
0.063390,0.003942,-0.174486,6.023544,4.386158,1.525800,6.692398,21.157804,18.129177,17.227245,17.104731,0.000000,398.437500,375.000000,1
0.065046,0.004233,0.079940,6.054410,3.981343,1.565350,6.232197,20.379974,21.536295,19.641716,17.275995,375.000000,398.437500,2015.625000,1
0.065051,0.004170,0.547086,5.502490,5.259297,1.547799,8.140332,19.089806,25.376953,24.917990,16.285015,375.000000,398.437500,0.000000,1
0.061296,0.003759,0.220459,5.384784,4.711851,1.510114,7.115432,18.010517,19.831940,17.735624,16.060766,375.000000,398.437500,2132.812500,1
0.065368,0.004275,-0.406563,6.392982,3.829050,1.556691,5.960648,21.728296,16.087118,16.069979,16.023510,398.437500,375.000000,1382.812500,1
0.066665,0.004380,-0.136018,5.140433,4.054671,1.522062,6.171460,17.519369,24.004932,16.701702,16.541445,398.437500,0.000000,375.000000,1
0.068906,0.004748,-0.061760,6.287035,4.255836,1.585727,6.748596,23.252937,29.504234,20.903996,15.657209,398.437500,375.000000,3515.625000,1
0.067608,0.004569,0.234494,6.922516,5.282690,1.580363,8.348569,23.009237,25.424040,24.857101,15.104934,398.437500,375.000000,1945.312500,1
0.066072,0.004367,-0.051593,6.690135,4.743888,1.556493,7.383828,22.668673,23.568657,22.623507,14.568519,375.000000,398.437500,2015.625000,1
0.069714,0.004802,-0.346636,5.513323,3.645195,1.567859,5.715150,20.104174,26.867376,26.176184,15.887533,375.000000,398.437500,0.000000,1
0.063799,0.004072,0.074589,7.347344,5.679081,1.612242,9.156051,24.855730,23.664698,23.077553,13.878915,398.437500,375.000000,2343.750000,1
0.052261,0.002720,-0.285515,6.696101,5.529368,1.549969,8.570348,23.606146,20.147316,15.501102,10.677078,398.437500,375.000000,867.187500,1
0.051015,0.002543,-0.554832,5.118515,3.432494,1.525194,5.235218,18.569134,18.954391,15.964752,15.864196,398.437500,0.000000,375.000000,1
0.050738,0.002576,-0.072182,7.153780,5.057815,1.581931,8.001112,24.312534,15.733541,14.533048,12.145381,398.437500,375.000000,2320.312500,1
0.048669,0.002369,0.155945,5.802317,4.474045,1.536011,6.872182,19.743334,17.241236,15.994049,13.856655,398.437500,375.000000,1406.250000,1
0.052673,0.002761,-0.218363,5.513500,4.931858,1.517288,7.483049,19.951157,18.287441,16.988644,13.958873,398.437500,375.000000,23.437500,1
0.061811,0.003819,-0.135444,6.721633,5.076043,1.575261,7.996090,24.121819,18.892462,18.832853,14.869164,398.437500,375.000000,2320.312500,1
0.064875,0.004211,-0.048885,7.482683,5.400670,1.589959,8.586843,25.570066,20.416191,18.457590,15.054996,398.437500,375.000000,2765.625000,1
0.057800,0.003342,0.043747,4.825788,3.625609,1.495287,5.421325,17.011662,18.809006,15.977833,13.035495,398.437500,375.000000,2062.500000,1
0.056209,0.003161,0.231506,5.115747,4.487811,1.508731,6.770900,17.747717,17.116653,16.364437,13.113080,375.000000,398.437500,2250.000000,1
0.057792,0.003329,-0.105925,6.202112,4.372231,1.548107,6.768681,21.835289,19.053782,17.087830,12.984846,398.437500,375.000000,1945.312500,1
0.057334,0.003289,-0.068680,5.593463,5.099469,1.533775,7.821435,19.972729,25.044832,20.629852,12.193842,398.437500,375.000000,1945.312500,1
0.058238,0.003371,-0.290446,6.640736,4.902207,1.576950,7.730538,22.768335,25.193136,22.681866,10.304640,398.437500,375.000000,1382.812500,1
0.056584,0.003202,0.029093,5.827070,5.025741,1.530253,7.690657,21.172899,20.933800,18.736334,10.630143,375.000000,398.437500,1335.937500,1
0.062724,0.003936,0.058593,5.789412,4.032858,1.578680,6.366592,18.886610,19.864969,17.972181,13.457530,398.437500,375.000000,2414.062500,1
