RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.000038,0.000000,-5.080807,31.282635,1.016934,3.667189,3.729289,221.656677,0.018013,0.017496,0.016189,0.000000,23.437500,46.875000,0
0.001957,0.000003,-0.499784,1.661049,0.624517,1.398339,0.873286,5.929832,2.153581,2.082098,0.943568,0.000000,23.437500,46.875000,0
0.013192,0.000116,0.496388,1.762282,2.056180,1.382027,2.841697,4.795885,15.549002,14.661276,5.089949,0.000000,23.437500,46.875000,0
0.001336,0.000002,-0.427296,3.825799,2.486003,1.475287,3.667569,11.622341,1.111786,0.864432,0.833319,70.312500,46.875000,93.750000,0
0.001808,0.000003,1.005553,2.561412,2.462513,1.496185,3.684374,7.022846,1.930579,1.354420,1.322961,23.437500,0.000000,46.875000,0
0.002062,0.000003,-0.554238,2.255828,0.991534,1.392443,1.380655,6.944046,2.310954,1.907875,1.239951,23.437500,0.000000,46.875000,0
0.000624,0.000000,-0.732266,4.717727,3.345675,1.483428,4.963068,14.471730,0.467729,0.434944,0.344252,70.312500,23.437500,93.750000,0
0.000828,0.000001,0.048947,3.594345,3.048941,1.419050,4.326599,12.031181,0.753246,0.480702,0.402925,70.312500,93.750000,23.437500,0
0.013101,0.000123,0.684078,1.966884,2.201118,1.430942,3.149673,5.386561,14.811771,14.319353,6.045880,23.437500,0.000000,46.875000,0
0.001102,0.000001,0.506313,6.497798,4.867092,1.542080,7.505444,18.543474,0.561864,0.537149,0.467935,820.312500,398.437500,70.312500,0
0.001578,0.000002,-0.075175,4.410171,3.031327,1.479471,4.484761,13.962332,0.798362,0.745199,0.644016,0.000000,843.750000,398.437500,0
0.002788,0.000007,-1.334699,4.667961,1.379251,1.537923,2.121182,12.001998,2.089984,1.933789,1.534538,23.437500,0.000000,46.875000,0
0.003083,0.000008,-1.556619,5.544955,1.721595,1.621997,2.792423,14.554086,2.205888,1.953818,1.361672,0.000000,23.437500,492.187500,0
