RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
45.529545,2073.951416,0.693085,34.599918,9.343176,4.229242,39.514553,728.884949,11779.171875,11754.180664,11707.400391,1312.500000,1335.937500,1289.062500,0
1221.685425,1493206.750000,0.379508,30.672707,9.379027,3.223517,30.233454,277.161499,374793.843750,373048.562500,363512.156250,1101.562500,1125.000000,1382.812500,4
2100.458984,4413977.500000,0.178302,22.682858,8.402964,2.539843,21.342207,114.450424,699775.375000,671369.875000,659073.750000,1125.000000,1382.812500,1101.562500,1
1275.226318,1626990.000000,-0.072294,6.599537,5.115563,1.564862,8.005151,24.918764,458119.875000,433315.687500,391170.843750,1148.437500,1453.125000,1078.125000,2
2013.526367,4056253.250000,0.140286,19.139374,7.616907,2.091981,15.934424,54.396984,692540.500000,654794.875000,615086.500000,1148.437500,1171.875000,1101.562500,1
1969.426636,3880510.000000,0.013646,17.044750,7.096049,2.112803,14.992550,53.112888,789374.875000,654744.250000,618645.000000,1148.437500,1171.875000,1125.000000,1
1211.973022,1469596.750000,0.045531,10.596146,6.023457,1.579791,9.515801,30.607441,564608.000000,362844.437500,311812.093750,1148.437500,1078.125000,1195.312500,2
2174.005127,4728609.000000,0.253949,20.391563,7.165379,2.229624,15.976100,62.618164,738999.812500,673951.437500,622092.250000,1148.437500,1125.000000,1171.875000,1
1449.913574,2103276.750000,0.182953,11.799702,5.949194,1.760710,10.474809,32.558838,578296.875000,449753.437500,415478.156250,1125.000000,1148.437500,1195.312500,4
1570.938965,2469036.000000,0.953065,20.825058,8.668051,1.934246,16.766140,46.759739,567239.937500,517940.437500,484222.531250,1101.562500,1171.875000,1195.312500,4
1938.200928,3758343.000000,0.979814,21.655527,8.478145,2.123975,18.007368,56.701916,698504.250000,652575.250000,619651.750000,1101.562500,1171.875000,1125.000000,1
1166.611450,1361634.750000,0.206699,5.609618,4.880201,1.498091,7.310983,19.892984,389351.937500,346689.687500,339594.968750,1195.312500,1406.250000,1125.000000,2
2186.655762,4783799.500000,0.410215,22.286177,8.174543,2.225560,18.192936,64.286278,781055.937500,706785.937500,687417.437500,1125.000000,1101.562500,1171.875000,1
1769.313232,3131990.500000,0.090179,16.326534,7.287314,1.959685,14.280843,47.965126,640387.187500,595289.812500,582228.437500,1148.437500,1171.875000,1101.562500,1
1436.421875,2064276.750000,0.307245,14.012924,6.995981,1.732050,12.117390,35.706085,558215.562500,477084.718750,471064.281250,1148.437500,1195.312500,1078.125000,4
2256.682129,5095030.000000,0.367876,19.957874,7.284491,2.231205,16.253195,56.580456,902792.562500,859750.750000,847859.562500,1148.437500,1171.875000,1125.000000,1
1305.882935,1706162.625000,0.055687,8.840380,5.787474,1.627419,9.418648,26.761387,542255.062500,493768.625000,404630.062500,1148.437500,1195.312500,1125.000000,2
1763.513794,3111470.250000,0.340801,16.337826,6.919003,2.033334,14.068647,46.955883,725422.500000,661104.750000,609395.937500,1195.312500,1171.875000,1148.437500,1
1802.768433,3251560.250000,0.363658,14.714202,6.880808,1.999243,13.756404,46.929749,699681.000000,688428.937500,679128.000000,1125.000000,1195.312500,1218.750000,1
1062.234985,1128893.250000,0.409675,7.881913,6.789671,1.477163,10.029449,25.688808,358446.218750,327541.000000,303558.187500,1148.437500,1218.750000,1101.562500,2
