RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
52.201027,2725.337402,2.750278,63.137589,13.071004,4.751328,62.104630,929.185425,8215.031250,8189.581055,8152.539551,1617.187500,1593.750000,1640.625000,0
878.336365,771847.187500,-0.166985,15.481380,6.874387,2.573932,17.694202,125.347229,201574.203125,191974.328125,182384.703125,398.437500,375.000000,1359.375000,4
2117.250244,4484834.000000,-0.355345,8.743635,4.447758,1.944613,8.649166,48.675808,604824.750000,539607.437500,482297.093750,398.437500,375.000000,1875.000000,1
2361.482178,5578900.500000,0.081347,6.715827,5.181161,1.598211,8.280591,24.372602,636810.125000,619358.250000,484784.000000,375.000000,398.437500,1921.875000,1
2175.982666,4736760.000000,-0.027375,5.177895,3.462169,1.511222,5.232104,17.544247,532809.187500,503175.906250,482785.250000,375.000000,796.875000,398.437500,1
2145.356934,4604524.500000,-0.067317,5.907136,4.409544,1.546297,6.818468,20.698532,618187.625000,563086.187500,530246.937500,398.437500,2320.312500,2343.750000,1
2017.455811,4072025.000000,-0.081431,5.513829,4.001176,1.519619,6.080264,18.227943,628688.250000,619281.750000,425659.562500,398.437500,375.000000,2343.750000,1
2047.799072,4195508.000000,-0.123283,5.868638,4.801004,1.522820,7.311066,22.496132,631938.500000,619434.875000,439034.468750,398.437500,375.000000,515.625000,1
2084.618652,4347680.000000,-0.148282,5.508372,4.269804,1.522641,6.501377,19.596680,700629.937500,559052.125000,487466.062500,398.437500,375.000000,1171.875000,1
2027.647583,4113247.250000,-0.250362,5.007609,3.750911,1.493947,5.603662,17.312759,673166.000000,636709.875000,424045.625000,398.437500,375.000000,2250.000000,1
2127.598633,4528807.500000,-0.161847,5.422603,4.798928,1.519198,7.290522,19.983259,797203.750000,748730.875000,510044.218750,375.000000,398.437500,1335.937500,1
2199.178223,4838627.000000,-0.002745,6.636305,6.099005,1.549099,9.447961,22.868654,746593.687500,710284.875000,645200.250000,398.437500,375.000000,1335.937500,1
2060.578369,4247927.000000,0.155462,4.760225,3.919631,1.500026,5.879549,16.588058,674485.750000,496696.500000,494747.875000,398.437500,2390.625000,375.000000,1
2087.419189,4359382.500000,0.334196,5.611403,5.196846,1.524669,7.923470,20.325813,572994.312500,552973.687500,488695.531250,398.437500,375.000000,2343.750000,1
2089.591064,4368417.500000,0.030618,5.881308,5.375665,1.529422,8.221660,22.606234,599338.187500,591113.062500,538492.500000,398.437500,375.000000,2320.312500,1
2080.085205,4328784.500000,0.182401,6.288911,5.230429,1.554297,8.129641,22.850948,768864.687500,577683.750000,519473.125000,398.437500,375.000000,2320.312500,1
2022.943237,4094251.000000,0.174173,6.273024,4.704117,1.534253,7.217305,21.364006,563434.250000,560776.062500,552022.687500,398.437500,375.000000,679.687500,1
2132.095703,4548036.500000,0.085089,6.055667,4.056074,1.565632,6.350318,20.658257,707002.750000,645330.187500,566188.312500,375.000000,398.437500,2015.625000,1
2084.027100,4345287.500000,0.299698,5.501265,5.382822,1.538643,8.282239,19.916113,831184.437500,816205.812500,460238.906250,375.000000,398.437500,914.062500,1
2007.440308,4031776.000000,0.162007,5.347495,4.751667,1.506309,7.157480,18.249763,648532.437500,579402.250000,526223.312500,375.000000,398.437500,2132.812500,1
2141.648193,4588903.000000,-0.371816,6.368804,3.907810,1.553965,6.072599,22.015238,528333.000000,526453.000000,525202.125000,398.437500,375.000000,1382.812500,1
2140.601807,4584400.500000,0.054660,5.188616,4.204005,1.523060,6.402951,17.360994,788013.562500,542133.687500,488696.750000,398.437500,375.000000,1382.812500,1
2257.097168,5096982.500000,-0.144141,6.293851,4.226048,1.584093,6.694456,23.370441,967094.750000,686268.125000,513076.750000,398.437500,375.000000,3515.625000,1
2212.744141,4898628.500000,0.354571,6.986961,5.409453,1.580227,8.548164,23.204849,831750.000000,814495.625000,494920.656250,398.437500,375.000000,1945.312500,1
2164.487549,4687291.500000,0.020770,6.738077,4.861822,1.556632,7.568066,22.864183,772545.062500,741771.000000,477469.437500,375.000000,398.437500,2015.625000,1
2246.705566,5050126.000000,-0.141607,5.536349,3.960848,1.569775,6.217639,20.142498,880704.000000,858027.937500,516316.812500,375.000000,398.437500,2320.312500,1
2088.987549,4365982.500000,0.034189,7.354681,5.835391,1.610770,9.399471,25.858530,774486.062500,754357.437500,454653.187500,398.437500,375.000000,2343.750000,1
