RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
1.601748,2.371653,-4.234226,21.459787,0.705209,3.412349,2.406420,167.575943,904.604736,874.743408,797.376221,0.000000,23.437500,46.875000,0
25.520439,560.975281,-2.492542,8.210799,0.763313,2.379631,1.816403,37.325836,19492.810547,17518.533203,14076.625977,0.000000,23.437500,46.875000,0
66.938354,3032.111328,-0.874204,2.537436,0.974642,1.600898,1.560302,11.151723,77988.593750,50475.062500,36102.574219,0.000000,23.437500,93.750000,0
102.698662,6077.745117,-0.948610,2.627763,0.488193,1.475201,0.720182,6.577279,136959.562500,92303.437500,42176.699219,0.000000,23.437500,46.875000,0
81.400757,2359.343018,0.022049,1.542804,0.047330,1.242403,0.058803,3.434913,133794.156250,66046.796875,14560.528320,0.000000,23.437500,46.875000,0
65.695473,1532.662231,-0.055582,1.526946,-0.000000,1.245095,-0.000000,3.035046,108059.515625,54167.871094,8545.281250,0.000000,23.437500,117.187500,0
60.659782,1492.470947,-0.470614,2.052931,0.050908,1.295722,0.065962,3.991294,95794.460938,47924.562500,16720.355469,0.000000,23.437500,70.312500,0
54.263229,1490.341919,-1.235319,3.814170,0.382084,1.403822,0.536378,6.069335,78116.843750,41509.812500,24373.546875,0.000000,23.437500,70.312500,0
49.030365,1281.021606,-0.789850,3.079389,0.945319,1.382754,1.307143,7.346984,68648.609375,29933.205078,20989.236328,0.000000,23.437500,70.312500,0
53.462032,1943.162720,-0.792132,3.371392,1.903988,1.463611,2.786697,10.732507,61982.929688,37622.964844,18420.521484,0.000000,23.437500,820.312500,0
56.746090,2675.108398,0.043368,4.675607,2.963928,1.421963,4.214596,12.665359,47868.773438,24438.046875,21097.847656,0.000000,843.750000,398.437500,0
69.896416,4453.044922,-0.412056,4.463614,2.923666,1.460898,4.271176,14.032376,42696.765625,33800.511719,31986.832031,0.000000,843.750000,445.312500,0
86.601372,7044.080078,-0.410251,4.725822,3.039957,1.492432,4.536929,14.970879,44733.605469,43884.375000,42603.578125,492.187500,0.000000,468.750000,0
104.814705,10427.337891,-0.365901,4.651244,3.433143,1.510226,5.184822,16.673880,62909.140625,61050.796875,48632.105469,492.187500,515.625000,0.000000,0
117.360672,13412.395508,-0.650202,7.294610,4.031918,1.613160,6.504127,22.336645,51785.132812,47779.699219,47624.207031,492.187500,890.625000,468.750000,0
102.348541,10358.909180,-0.371094,4.071760,2.804008,1.447205,4.057973,12.810871,54466.757812,45684.937500,43923.546875,796.875000,468.750000,820.312500,0
120.923203,14550.436523,-0.138468,6.305599,4.025959,1.599372,6.439006,20.478802,63248.535156,43713.054688,42840.035156,820.312500,843.750000,585.937500,0
119.556702,14261.811523,0.047187,4.402941,3.731784,1.480756,5.525862,15.564313,67505.796875,51386.644531,43363.585938,890.625000,820.312500,843.750000,0
122.776207,15036.311523,-0.199783,5.176708,3.884775,1.540573,5.984778,17.747192,56696.246094,55799.968750,55458.355469,890.625000,843.750000,914.062500,0
107.168030,11443.451172,0.011681,4.937704,4.127384,1.476199,6.092841,16.800144,46677.625000,39504.734375,39238.773438,820.312500,515.625000,914.062500,0
102.655182,10519.742188,0.038126,5.657099,4.377233,1.569164,6.868596,18.974081,50091.703125,42131.187500,33071.062500,820.312500,796.875000,492.187500,0
91.119316,8268.190430,-0.452071,5.225799,3.259415,1.523143,4.964555,16.471573,38197.613281,34060.167969,33291.390625,820.312500,843.750000,796.875000,0
87.162338,7594.096191,-0.024030,4.680218,4.060849,1.479585,6.008369,16.113974,41158.617188,40751.527344,30087.847656,632.812500,984.375000,656.250000,0
96.836082,9381.799805,0.063129,5.447107,4.884517,1.551625,7.578940,20.543470,48244.789062,45491.222656,34089.789062,984.375000,960.937500,796.875000,0
85.074417,7238.321777,-0.212667,5.203290,4.058424,1.518661,6.163368,17.443651,45076.335938,32926.070312,31498.416016,820.312500,796.875000,585.937500,0
74.797989,5596.508301,-0.139628,4.812411,3.024857,1.485629,4.493816,16.566475,36792.691406,31124.677734,30392.689453,820.312500,492.187500,843.750000,0
78.324249,6136.225098,0.098821,4.654507,3.869971,1.509932,5.843393,18.537146,30147.341797,29324.601562,27935.900391,914.062500,492.187500,773.437500,0
78.634094,6174.170898,0.508803,5.152092,4.081504,1.492605,6.092074,15.592346,29921.751953,28514.880859,28402.267578,796.875000,820.312500,914.062500,0
85.722900,7318.506348,-0.058125,5.856396,4.301966,1.582530,6.807992,20.216883,47973.628906,38760.183594,32284.261719,937.500000,960.937500,914.062500,0
76.070770,5775.168945,0.102576,4.962486,3.798984,1.519755,5.773528,16.855415,38716.222656,35769.582031,27690.091797,960.937500,937.500000,890.625000,0
84.674171,7160.802734,-0.017431,6.761086,3.848146,1.589194,6.115449,20.060987,44097.773438,40838.792969,37420.574219,867.187500,843.750000,890.625000,0
91.114815,8298.659180,-0.118419,4.736907,3.341982,1.586358,5.301579,16.583633,56377.121094,55979.933594,43866.921875,773.437500,750.000000,843.750000,0
68.574707,4694.095215,0.274385,4.610291,3.291876,1.494486,4.919663,13.644476,30735.361328,30520.419922,29364.304688,750.000000,843.750000,773.437500,0
59.834290,3551.922363,-0.486327,4.711236,3.183284,1.530843,4.873110,14.758456,30257.111328,26107.886719,25579.132812,890.625000,820.312500,914.062500,0
56.256058,3146.093994,-0.213824,6.406411,4.631925,1.569254,7.268666,21.734848,25367.076172,20845.218750,20746.082031,890.625000,820.312500,914.062500,0
48.659851,2351.513916,-0.050132,5.142889,3.688285,1.525791,5.627551,16.863710,21578.865234,18974.281250,17664.501953,609.375000,773.437500,70.312500,0
