TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79576,1148,171,6191,1820,1104,6,38239
70394,1148,171,6191,1820,1104,5,38247
70457,1147,172,6182,1820,1108,7,38270
70458,1148,171,6183,1821,1109,5,38274
70394,1148,172,6191,1820,1107,6,38275
70342,1148,171,6168,1821,1110,5,38255
75646,1147,172,6191,1821,1107,5,38282
77252,1148,172,6182,1819,1107,6,38253
70306,1148,171,6185,1821,1109,6,38269
75936,1148,172,6172,1820,1106,5,38264
70394,1148,171,6191,1821,1109,6,38251
79801,1148,172,6191,1821,1105,6,38273
70370,1147,171,6177,1821,1108,6,38259
70330,1148,172,6171,1820,1109,6,38242
70329,1148,171,6183,1821,1107,5,38258
77153,1148,172,6191,1821,1107,5,38261
75734,1148,171,6177,1820,1108,6,38248
70357,1148,172,6191,1821,1103,6,38271
70369,1147,172,6191,1821,1110,6,38250
70369,1147,171,6186,1821,1106,5,38260
70393,1148,172,6191,1821,1107,6,38276
70367,1149,171,6192,1820,1108,6,38259
70317,1147,172,6183,1821,1105,5,38257
77253,1147,172,6177,1821,1107,6,38235
79799,1148,172,6167,1820,1108,6,38239
76010,1147,171,6191,1821,1107,5,38254
70407,1147,172,6191,1820,1107,6,38279
70433,1148,171,6191,1821,1108,5,38279
70355,1148,172,6191,1820,1110,6,38270
70293,1148,171,6191,1821,1106,6,38274
70306,1147,172,6191,1820,1105,6,38266
77227,1148,172,6192,1820,1106,6,38248
70343,1147,171,6191,1821,1105,6,38259
70395,1148,171,6187,1821,1107,5,38272
70406,1147,171,6191,1820,1107,5,38279
70406,1149,171,6192,1820,1105,6,38250
85067,1148,171,6191,1820,1106,6,38268
70367,1147,171,6191,1820,1109,6,38271
79648,1147,173,6191,1820,1106,5,38265
77253,1147,171,6191,1820,1106,6,38275
70331,1147,172,6192,1820,1110,6,38282
70393,1148,172,6191,1821,1104,5,38271
70443,1148,172,6192,1820,1106,6,38267
70456,1147,172,6191,1821,1109,6,38280
70432,1148,171,6176,1821,1108,6,38199
70292,1147,171,6179,1820,1107,6,38268
75870,1147,171,6191,1820,1109,6,38266
77239,1148,172,6192,1819,1106,6,38248
70355,1147,172,6191,1821,1108,6,38278
70370,1148,171,6191,1820,1105,6,38249
70382,1148,171,6191,1821,1110,6,38281
79850,1147,171,6191,1821,1110,6,38284
70418,1148,172,6191,1820,1107,6,38284
70329,1148,172,6191,1821,1107,6,38274
70330,1147,172,6176,1821,1104,6,38258
82618,1147,171,6191,1821,1108,5,38278
70319,1148,171,6179,1820,1107,5,38268
70405,1147,172,6182,1820,1111,6,38261
70469,1147,171,6182,1820,1108,6,38267
70432,1147,171,6184,1820,1106,6,38265
70369,1147,171,6177,1821,1105,6,38260
70317,1148,171,6181,1820,1108,5,38261
70368,1148,171,6191,1821,1106,6,38261
77240,1148,172,6167,1821,1106,5,38235
70356,1148,172,6192,1820,1105,5,38262
85466,1148,171,6191,1821,1109,6,38279
70408,1148,171,6187,1820,1106,5,38247
70356,1148,172,6169,1821,1109,6,38233
75572,1148,172,6179,1820,1108,6,38272
70291,1148,172,6191,1821,1107,6,38280
70393,1148,171,6192,1820,1109,6,38280
77176,1149,171,6191,1821,1111,6,38290
70392,1148,172,6183,1820,1108,6,38266
70395,1148,171,6191,1821,1110,6,38284
70457,1148,171,6191,1820,1106,6,38275
70356,1148,171,6191,1821,1108,6,38258
75922,1148,172,6186,1821,1107,5,38252
70330,1148,172,6191,1820,1104,6,38250
79787,1147,171,6179,1821,1109,6,38261
77252,1148,171,6191,1821,1104,5,38264
70431,1148,171,6191,1820,1109,5,38245
70394,1148,172,6187,1820,1105,6,38265
70457,1147,171,6191,1820,1105,6,38266
70457,1148,172,6191,1820,1108,6,38257
70381,1148,171,6191,1820,1107,6,38278
75921,1148,171,6192,1821,1113,6,38291
70292,1148,172,6173,1820,1109,6,38255
77203,1148,172,6177,1820,1109,6,38272
70329,1148,172,6181,1820,1110,6,38250
70433,1147,171,6191,1820,1105,5,38277
70383,1147,171,6186,1821,1106,6,38245
70432,1147,171,6191,1821,1107,6,38276
88994,1148,171,6191,1821,1108,6,38270
70255,1147,172,6179,1821,1108,6,38270
70254,1147,172,6191,1820,1109,5,38261
82444,1148,171,6175,1821,1107,6,38257
70231,1148,171,6191,1820,1110,6,38282
70331,1147,172,6182,1819,1110,6,38268
70307,1148,171,6185,1821,1108,6,38260
70294,1147,172,6178,1821,1106,6,38263
70331,1148,172,6192,1820,1108,5,38246
70280,1148,171,6191,1820,1107,6,38283
70294,1147,171,6168,1820,1108,6,38236
77215,1148,172,6192,1820,1105,5,38260
70280,1148,171,6191,1821,1109,5,38285
85241,1148,172,6192,1819,1107,5,38267
70357,1147,171,6191,1820,1105,5,38272
70345,1148,172,6191,1821,1107,6,38252
70293,1148,172,6192,1820,1111,6,38260
70317,1148,172,6174,1821,1109,5,38264
70318,1147,171,6191,1821,1109,5,38286
77239,1149,171,6192,1820,1108,5,38277
70305,1147,171,6191,1821,1109,6,38261
70357,1148,172,6177,1821,1108,6,38241
70382,1148,171,6191,1820,1108,5,38256
75885,1148,172,6191,1821,1105,6,38281
70344,1147,171,6191,1821,1109,5,38258
70342,1148,172,6191,1821,1109,5,38288
70343,1147,171,6175,1820,1109,5,38268
86535,1148,171,6188,1820,1112,6,38281
70342,1149,171,6191,1820,1110,5,38289
70444,1147,172,6191,1820,1107,6,38283
70407,1148,171,6175,1821,1104,6,38239
70407,1148,172,6188,1820,1107,6,38243
70393,1148,172,6191,1821,1106,6,38255
75846,1148,172,6177,1820,1109,6,38267
70292,1148,171,6192,1820,1107,6,38257
77203,1147,171,6175,1820,1107,5,38241
75696,1148,172,6191,1821,1107,6,38279
70370,1148,172,6191,1821,1108,5,38271
70431,1147,172,6190,1821,1108,6,38244
70382,1147,172,6192,1819,1108,6,38281
79750,1147,172,6191,1820,1106,6,38275
70331,1147,171,6191,1821,1108,5,38279
70330,1147,171,6167,1820,1109,5,38251
82581,1148,172,6191,1821,1111,6,38288
70304,1147,173,6191,1820,1108,5,38278
70357,1148,172,6191,1820,1110,6,38278
70370,1148,172,6191,1820,1106,5,38280
70382,1148,171,6191,1821,1108,6,38280
70393,1148,172,6192,1820,1108,6,38239
70318,1148,171,6191,1821,1108,6,38285
70319,1148,171,6191,1821,1109,6,38282
77239,1147,172,6192,1820,1107,6,38257
70368,1148,171,6191,1820,1111,6,38280
75948,1149,171,6192,1820,1110,6,38271
79713,1148,172,6172,1820,1109,5,38268
70369,1148,172,6191,1820,1106,6,38279
70395,1147,171,6191,1821,1110,6,38264
79611,1147,172,6177,1821,1110,6,38259
70354,1147,172,6191,1821,1108,6,38287
77227,1148,171,6173,1821,1108,6,38263
70344,1148,171,6191,1820,1109,6,38265
70407,1148,171,6168,1821,1107,6,38246
