TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
85113,1147,172,6191,1840,1105,5,38345
70317,1147,171,6191,1840,1103,5,38320
70344,1148,171,6192,1840,1103,6,38325
70305,1147,172,6188,1841,1101,6,38330
70304,1148,172,6191,1839,1104,6,38317
70304,1148,172,6191,1841,1106,6,38341
70318,1148,172,6191,1840,1102,6,38332
77328,1147,172,6191,1841,1105,5,38320
70355,1148,171,6171,1839,1108,6,38308
75923,1147,172,6191,1840,1105,6,38322
70419,1148,172,6169,1840,1105,6,38320
85504,1148,172,6192,1840,1105,6,38340
70331,1148,172,6173,1840,1105,6,38323
70343,1148,171,6191,1841,1103,6,38330
70305,1147,172,6168,1840,1103,6,38312
77277,1148,172,6172,1840,1103,5,38288
70343,1148,172,6174,1840,1102,6,38306
70395,1147,172,6191,1841,1103,6,38341
70407,1148,172,6178,1840,1105,6,38328
70405,1148,172,6191,1840,1104,5,38323
84990,1148,172,6191,1840,1104,6,38341
70343,1147,171,6187,1840,1104,5,38338
70279,1148,172,6169,1840,1104,6,38323
77214,1147,171,6191,1841,1102,6,38319
79713,1147,172,6191,1840,1105,5,38347
70395,1148,171,6191,1840,1104,6,38331
70383,1147,171,6191,1840,1105,6,38338
70406,1148,171,6192,1840,1105,5,38343
70380,1147,173,6192,1840,1105,6,38319
70330,1148,171,6191,1840,1102,5,38329
76085,1147,171,6191,1840,1106,6,38343
77164,1148,172,6191,1839,1104,6,38322
70355,1147,171,6191,1841,1105,6,38309
70420,1147,171,6192,1840,1103,6,38306
70432,1148,171,6191,1840,1105,6,38324
70482,1148,171,6191,1841,1107,6,38343
70355,1148,171,6191,1841,1106,6,38341
70317,1148,171,6191,1840,1105,6,38345
79824,1147,172,6192,1840,1103,5,38329
77265,1148,172,6191,1840,1103,6,38315
75709,1147,172,6191,1840,1102,5,38326
70280,1147,171,6187,1840,1106,6,38329
70393,1147,171,6188,1840,1102,6,38320
70404,1148,172,6170,1840,1102,6,38306
70304,1147,171,6191,1840,1104,6,38322
70355,1148,171,6174,1841,1103,6,38324
70306,1148,172,6187,1840,1105,6,38321
77289,1148,172,6192,1841,1104,6,38316
70355,1148,172,6192,1840,1103,6,38316
70381,1147,172,6191,1840,1103,6,38324
75810,1147,173,6192,1840,1102,5,38335
79726,1148,171,6191,1840,1105,6,38341
70343,1147,171,6191,1841,1106,6,38318
70294,1147,171,6191,1840,1103,6,38325
70304,1148,171,6191,1840,1103,5,38334
77227,1148,172,6174,1840,1104,5,38307
70392,1147,172,6191,1841,1107,5,38346
70407,1147,171,6191,1841,1103,5,38341
70419,1148,172,6191,1840,1101,6,38336
70418,1149,171,6189,1840,1102,5,38339
75997,1148,172,6191,1840,1105,5,38344
70256,1147,171,6168,1840,1103,6,38289
70292,1147,172,6192,1840,1104,6,38311
77202,1147,171,6191,1841,1103,6,38317
70331,1148,171,6191,1840,1104,5,38344
79738,1148,171,6191,1840,1105,6,38324
70355,1148,171,6190,1840,1103,6,38333
70406,1148,172,6182,1839,1104,6,38301
75772,1149,171,6190,1840,1103,5,38317
70292,1148,172,6191,1840,1105,6,38337
75770,1148,172,6191,1841,1104,6,38332
77190,1147,171,6191,1840,1106,6,38312
70381,1148,171,6192,1840,1105,6,38337
70357,1148,171,6191,1840,1104,5,38320
70369,1149,171,6191,1841,1104,6,38326
70381,1147,172,6191,1839,1104,6,38297
70331,1147,171,6191,1841,1103,6,38332
79662,1147,172,6191,1840,1105,6,38307
79775,1148,171,6191,1840,1103,6,38342
82868,1148,172,6192,1840,1104,6,38313
70279,1148,172,6192,1840,1102,6,38341
70394,1147,171,6185,1841,1104,6,38325
70383,1148,171,6191,1841,1105,6,38323
70420,1148,171,6188,1841,1105,6,38341
70368,1148,172,6191,1840,1103,6,38341
70305,1148,171,6191,1840,1102,5,38338
70317,1147,171,6191,1841,1103,5,38330
77241,1147,171,6188,1840,1102,6,38334
70380,1148,171,6191,1841,1103,6,38323
70418,1148,172,6191,1839,1102,6,38336
75837,1147,171,6192,1840,1104,5,38316
70344,1148,172,6192,1840,1104,6,38318
79737,1148,172,6172,1840,1103,6,38308
70230,1148,171,6191,1840,1104,6,38339
70230,1147,172,6168,1840,1106,6,38296
77139,1147,172,6191,1840,1101,6,38318
70281,1147,171,6191,1840,1103,6,38331
70344,1148,171,6191,1840,1102,5,38337
70381,1148,172,6180,1841,1105,6,38311
70293,1147,172,6191,1840,1103,5,38333
76061,1147,171,6177,1840,1105,6,38328
70204,1148,172,6192,1840,1106,6,38345
70255,1147,171,6191,1840,1105,6,38331
77179,1148,172,6191,1840,1105,6,38335
70356,1148,172,6191,1840,1105,6,38343
79749,1148,171,6192,1841,1104,5,38340
70407,1148,172,6192,1840,1102,6,38321
70419,1148,172,6191,1841,1105,6,38324
70343,1148,171,6191,1840,1103,6,38339
75922,1147,172,6182,1841,1102,6,38298
70267,1147,172,6191,1840,1104,6,38338
77203,1147,172,6179,1840,1104,5,38329
70330,1147,172,6192,1840,1103,6,38324
70332,1147,172,6191,1840,1103,5,38322
70345,1148,172,6185,1840,1105,6,38339
70344,1147,172,6191,1840,1105,6,38322
70368,1148,171,6191,1840,1104,6,38340
70292,1148,171,6183,1840,1105,6,38303
70292,1148,171,6192,1840,1104,6,38317
92051,1147,172,6191,1840,1103,5,38305
70230,1147,171,6191,1840,1104,5,38329
70431,1147,172,6191,1841,1102,6,38321
70394,1148,172,6190,1840,1102,6,38321
70393,1147,173,6182,1840,1104,6,38330
70369,1148,171,6191,1841,1103,5,38335
70317,1147,172,6191,1840,1104,6,38320
70330,1147,171,6167,1840,1105,6,38315
77239,1147,173,6192,1839,1105,6,38330
75734,1148,171,6191,1841,1104,6,38340
70369,1147,172,6192,1840,1101,6,38323
75936,1147,172,6190,1840,1106,6,38317
70394,1148,171,6181,1841,1104,6,38310
79761,1148,172,6192,1840,1101,5,38337
79623,1149,171,6191,1840,1103,6,38324
70354,1147,172,6173,1840,1104,6,38317
77216,1147,171,6191,1840,1101,5,38332
70406,1148,172,6177,1840,1102,6,38312
70420,1148,171,6179,1840,1106,6,38320
70406,1148,172,6181,1840,1103,6,38329
75886,1148,171,6167,1840,1105,6,38286
70444,1148,171,6191,1841,1107,6,38344
70280,1148,172,6192,1840,1103,5,38345
70292,1148,172,6191,1841,1102,6,38321
77216,1147,171,6168,1840,1105,6,38307
70380,1149,171,6192,1840,1105,6,38345
70393,1148,172,6192,1840,1105,6,38333
79799,1147,173,6181,1839,1105,5,38311
70407,1148,172,6182,1840,1102,6,38318
70381,1148,171,6185,1840,1104,6,38334
75834,1148,172,6192,1840,1103,5,38341
70217,1147,171,6191,1840,1103,5,38338
77252,1147,171,6191,1840,1104,6,38340
70329,1148,172,6191,1839,1105,5,38332
70381,1148,172,6191,1840,1103,6,38341
70395,1147,171,6191,1840,1102,5,38327
