TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
88794,1148,171,6191,1819,1094,6,38219
70381,1148,172,6191,1820,1094,6,38213
70394,1147,171,6191,1819,1096,6,38199
70407,1148,171,6192,1819,1098,5,38214
70381,1148,172,6192,1819,1101,6,38226
70318,1148,172,6174,1820,1102,6,38234
70306,1147,171,6191,1819,1101,6,38247
82807,1148,171,6191,1819,1100,6,38234
70381,1148,171,6180,1819,1098,6,38230
70418,1148,172,6191,1819,1100,6,38232
70382,1148,171,6191,1819,1099,6,38219
79777,1148,172,6191,1819,1098,6,38216
70406,1148,172,6192,1819,1099,6,38234
70243,1147,172,6191,1819,1097,6,38235
70319,1148,171,6191,1819,1094,6,38223
77240,1149,171,6192,1818,1095,5,38187
70332,1148,171,6192,1819,1095,5,38212
76011,1148,172,6191,1818,1096,6,38212
70469,1147,172,6192,1819,1095,5,38226
70395,1147,171,6191,1820,1095,6,38223
70432,1148,172,6188,1819,1097,6,38229
70393,1148,171,6192,1818,1095,5,38218
70407,1148,171,6191,1819,1100,6,38231
77279,1148,171,6188,1819,1098,6,38224
79624,1149,171,6191,1819,1099,6,38222
70356,1148,171,6191,1819,1101,6,38220
76150,1148,172,6188,1819,1100,6,38226
70356,1148,172,6192,1819,1100,6,38237
70444,1148,172,6191,1819,1099,6,38222
70332,1148,172,6191,1819,1098,6,38242
70342,1148,172,6192,1818,1098,5,38197
77303,1147,171,6191,1819,1097,5,38207
70419,1148,172,6191,1819,1100,6,38219
70420,1147,171,6191,1819,1099,5,38209
70318,1148,172,6191,1819,1101,6,38207
70370,1148,172,6191,1819,1099,6,38238
70331,1147,171,6191,1820,1098,5,38241
75922,1147,171,6187,1819,1099,6,38233
79838,1148,171,6191,1819,1098,5,38237
77253,1149,171,6192,1818,1096,6,38210
70369,1148,171,6191,1819,1098,6,38215
70408,1148,172,6191,1819,1099,6,38228
70469,1148,172,6189,1819,1098,6,38200
