RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
12.704385,145.912811,-2.960282,10.355668,0.095055,3.210436,0.305167,125.202965,8078.573730,7957.322754,7603.007324,0.000000,23.437500,46.875000,0
73.042900,4493.474121,-2.257041,6.834219,0.686401,2.297424,1.576954,33.134396,59497.558594,50740.007812,42306.261719,0.000000,23.437500,93.750000,0
101.850594,6558.492676,-0.959260,2.542172,0.492258,1.578247,0.776904,8.975282,126550.078125,94989.968750,49826.753906,0.000000,23.437500,46.875000,0
102.698662,6077.745117,-0.948611,2.627768,0.488193,1.475201,0.720182,6.577279,136959.562500,92303.437500,42176.699219,0.000000,23.437500,46.875000,0
102.876961,5937.582031,-0.957616,2.659419,0.487346,1.450754,0.707020,6.009550,139639.656250,90318.734375,42609.738281,0.000000,23.437500,46.875000,0
83.343147,3353.101074,-1.181271,3.582905,-0.000000,1.390093,-0.000000,5.316184,122788.031250,70944.312500,29194.312500,0.000000,23.437500,46.875000,0
55.047222,1447.444824,-1.187804,3.799209,0.376642,1.368814,0.515553,5.705146,81495.406250,39958.074219,26263.019531,0.000000,23.437500,70.312500,0
54.263229,1490.341919,-1.235328,3.814208,0.382084,1.403822,0.536378,6.069335,78116.843750,41509.812500,24373.546875,0.000000,23.437500,70.312500,0
53.538719,1597.964722,-1.221399,3.722069,0.789481,1.456711,1.150045,7.517307,72962.156250,42587.234375,20941.970703,0.000000,23.437500,70.312500,0
56.695721,2692.629639,0.171684,6.251863,3.604395,1.508324,5.436597,16.394299,46840.152344,23084.544922,23047.984375,0.000000,70.312500,23.437500,0
68.125122,4102.581543,-0.422054,5.045108,2.999683,1.508866,4.526121,15.156159,47611.402344,31019.957031,25990.253906,0.000000,843.750000,445.312500,0
69.896416,4453.044922,-0.412056,4.463616,2.923666,1.460898,4.271176,14.032376,42696.765625,33800.511719,31986.832031,0.000000,843.750000,445.312500,0
76.256859,5323.343262,-0.392139,3.879462,2.679808,1.414499,3.790586,12.064214,45536.011719,42188.773438,28008.890625,0.000000,445.312500,867.187500,0
87.995850,7443.490234,-0.173930,4.065974,3.261360,1.436344,4.684434,14.421124,38634.945312,38265.402344,35673.929688,445.312500,867.187500,0.000000,1
99.657898,9781.999023,-0.416219,4.375401,2.879713,1.471853,4.238515,13.431301,50885.917969,43639.761719,34749.804688,796.875000,468.750000,867.187500,3
102.348541,10358.909180,-0.371094,4.071764,2.804008,1.447205,4.057973,12.810871,54466.757812,45684.937500,43923.546875,796.875000,468.750000,820.312500,1
101.259415,10200.536133,-0.425200,4.162074,2.834167,1.448281,4.104670,12.904840,56108.093750,46211.863281,36264.335938,820.312500,796.875000,585.937500,3
110.159607,12005.590820,-0.179318,4.525102,4.015297,1.452238,5.831166,15.571088,60436.875000,44784.195312,43286.460938,796.875000,773.437500,820.312500,1
109.446556,11943.960938,0.026171,4.626618,4.041457,1.445321,5.841202,15.835932,45869.160156,37240.492188,34170.656250,843.750000,937.500000,421.875000,1
107.168030,11443.451172,0.011681,4.937724,4.127384,1.476199,6.092841,16.800144,46677.625000,39504.734375,39238.773438,820.312500,515.625000,914.062500,1
104.203278,10806.168945,0.060471,5.403049,4.244814,1.518902,6.447458,18.204473,46395.785156,36500.605469,33328.421875,820.312500,515.625000,445.312500,1
97.058472,9424.181641,0.159555,5.632841,4.873325,1.532503,7.468384,20.565418,41652.109375,38179.292969,34533.820312,984.375000,960.937500,492.187500,4
97.164124,9445.465820,0.065005,5.375552,4.868026,1.530035,7.448253,19.755774,48147.226562,48002.636719,34563.546875,960.937500,984.375000,796.875000,4
96.836082,9381.799805,0.063130,5.447128,4.884517,1.551625,7.578940,20.543470,48244.789062,45491.222656,34089.789062,984.375000,960.937500,796.875000,4
97.627716,9528.366211,-0.008656,5.301842,4.844910,1.533518,7.429757,19.978718,50058.062500,43427.464844,35124.277344,984.375000,960.937500,796.875000,4
91.484505,8361.020508,-0.029703,5.171844,3.749266,1.539467,5.771872,18.120834,41353.839844,40524.414062,31323.707031,820.312500,796.875000,562.500000,1
77.595268,6007.352051,0.572913,5.417268,4.136146,1.527316,6.317204,16.619318,31644.328125,28591.183594,27112.738281,796.875000,914.062500,820.312500,1
78.634094,6174.170898,0.508803,5.152090,4.081504,1.492605,6.092074,15.592346,29921.751953,28514.880859,28402.267578,796.875000,820.312500,914.062500,1
77.957893,6069.143555,0.554029,5.331005,4.116907,1.536659,6.326283,16.922104,30923.187500,26494.685547,25897.814453,796.875000,820.312500,914.062500,1
83.303925,6893.381836,-0.030431,4.636844,3.661031,1.510269,5.529141,15.767838,39131.640625,36472.476562,35358.722656,773.437500,937.500000,914.062500,1
92.945251,8639.899414,-0.147888,4.428699,3.276166,1.527391,5.003987,15.000878,55746.167969,51498.183594,40735.222656,773.437500,750.000000,843.750000,1
91.114815,8298.659180,-0.118419,4.736933,3.341982,1.586358,5.301579,16.583633,56377.121094,55979.933594,43866.921875,773.437500,750.000000,843.750000,1
90.445381,8176.202148,-0.138791,4.839097,3.366718,1.580211,5.320124,16.225906,58400.699219,56794.492188,46385.167969,773.437500,750.000000,843.750000,1
73.703033,5428.903809,0.041094,6.645894,4.131500,1.646583,6.802857,20.733240,41072.550781,34938.335938,29028.976562,773.437500,796.875000,750.000000,1
48.903019,2380.302246,-0.058313,5.056858,3.669945,1.512566,5.551033,16.457088,20719.474609,18299.703125,18114.544922,609.375000,70.312500,773.437500,1
48.659851,2351.513916,-0.050132,5.142892,3.688285,1.525791,5.627551,16.863710,21578.865234,18974.281250,17664.501953,609.375000,773.437500,70.312500,1
48.373550,2307.756836,0.010940,5.336905,3.710114,1.564629,5.804951,17.933725,22137.796875,17612.248047,16447.925781,609.375000,585.937500,773.437500,1
46.852356,2192.101562,0.218992,4.402036,3.830573,1.502956,5.757184,15.385853,19215.865234,19114.890625,18321.964844,70.312500,656.250000,93.750000,1
52.544079,2748.206543,0.184046,5.713317,4.936325,1.529814,7.551659,18.843414,25696.191406,23782.921875,22262.734375,890.625000,773.437500,867.187500,4
52.034756,2700.558594,0.168104,5.858339,4.984642,1.519990,7.576606,18.475143,24609.765625,21161.433594,20573.236328,890.625000,773.437500,796.875000,4
51.717930,2671.309570,0.133669,5.939866,5.015178,1.515496,7.600482,18.315340,24873.962891,20477.230469,20198.693359,890.625000,914.062500,773.437500,4
47.572353,2249.739746,0.280875,7.389371,5.452214,1.538454,8.387981,20.006027,22150.882812,20991.519531,19877.361328,890.625000,867.187500,773.437500,4
44.130089,1948.103760,0.103673,4.667701,3.522233,1.475789,5.198073,14.499287,32195.095703,21352.322266,16115.089844,914.062500,890.625000,937.500000,1
44.140720,1949.246704,0.095532,4.693786,3.521385,1.502520,5.290952,15.117887,32029.740234,23653.574219,15966.375977,914.062500,890.625000,843.750000,1
44.788425,2006.945801,0.102133,4.485202,3.470460,1.472179,5.109140,14.339251,31294.732422,27574.390625,18673.316406,914.062500,890.625000,843.750000,1
54.655613,2987.476318,0.277400,5.105713,4.031392,1.550888,6.252239,16.765409,35144.378906,25519.119141,23215.281250,914.062500,890.625000,937.500000,1
52.846176,2770.265137,0.108589,6.062829,4.169425,1.578153,6.579991,18.908234,28187.658203,28002.701172,24117.234375,867.187500,468.750000,492.187500,1
53.370857,2814.024902,0.133031,5.906105,4.128436,1.550125,6.399593,18.226789,29777.732422,24420.619141,24148.050781,867.187500,492.187500,468.750000,1
52.630459,2727.822021,0.143620,6.237921,4.186514,1.589829,6.655841,19.462591,24849.103516,24327.505859,24271.179688,492.187500,867.187500,468.750000,1
42.649036,1764.397705,-0.580587,5.592956,2.835681,1.501905,4.258925,16.638933,16497.925781,15244.274414,14614.855469,421.875000,0.000000,539.062500,1
39.449661,1528.906006,-0.285616,4.362684,3.082031,1.466301,4.519186,13.843201,21832.462891,16580.076172,16400.835938,820.312500,960.937500,492.187500,1
39.419422,1533.017212,-0.282274,4.320280,3.084396,1.465690,4.520767,13.888864,21154.251953,20748.218750,16609.353516,820.312500,843.750000,937.500000,1
39.700890,1538.216064,-0.190845,4.266479,3.062528,1.463582,4.482261,13.871149,21300.277344,20312.654297,15562.285156,843.750000,820.312500,937.500000,1
32.846539,1066.461548,-0.310364,5.373275,3.701611,1.499377,5.550111,16.893408,14554.068359,13047.223633,12975.319336,843.750000,820.312500,609.375000,1
23.057344,528.964722,-0.055367,3.727005,3.275581,1.393700,4.565176,12.895981,10291.478516,9779.771484,7041.607910,46.875000,445.312500,867.187500,3
20.828766,427.616974,0.232361,4.120466,3.626053,1.415612,5.133086,14.762733,10739.677734,9211.611328,6779.770996,46.875000,445.312500,632.812500,1
19.746374,390.078125,0.169564,4.351890,3.824814,1.455480,5.566939,16.545219,8167.513672,7539.083984,7105.329102,445.312500,117.187500,421.875000,1
23.801004,565.713928,0.072518,3.985956,3.013536,1.448543,4.365237,14.347301,16609.607422,12090.942383,8839.093750,70.312500,23.437500,46.875000,1
26.559732,705.447083,-0.449704,4.838659,2.700524,1.492056,4.029332,15.063714,17993.939453,17441.150391,12222.304688,70.312500,46.875000,23.437500,1
26.496967,701.130676,-0.602088,5.029598,2.706921,1.496764,4.051620,15.072779,20852.421875,15250.872070,9901.911133,46.875000,70.312500,23.437500,1
26.520966,701.065125,-0.341718,4.819505,2.704471,1.462524,3.955354,14.010764,17737.654297,17477.986328,11288.872070,70.312500,46.875000,140.625000,1
21.953119,481.487885,-0.658350,7.105184,3.507085,1.524297,5.345839,18.274576,14454.034180,9429.441406,8390.926758,70.312500,93.750000,140.625000,1
22.013590,450.186188,-0.288161,5.211577,3.497451,1.478926,5.172470,15.581626,16659.111328,15016.626953,12052.208984,46.875000,70.312500,0.000000,1
21.716837,436.095245,-0.345641,5.451286,3.545243,1.516422,5.376083,16.711283,17294.103516,13561.523438,12243.341797,46.875000,70.312500,0.000000,1
21.551538,445.282318,-0.535514,5.365656,3.572434,1.563823,5.586655,18.286528,14530.659180,14479.240234,10866.881836,70.312500,46.875000,23.437500,1
23.229797,481.295227,-0.318862,5.079323,3.270811,1.557259,5.093498,16.874165,15672.722656,12417.935547,11542.469727,0.000000,140.625000,23.437500,0
21.364077,450.286591,0.598064,5.117389,3.884750,1.583381,6.151040,16.662167,12683.959961,12424.625977,10443.991211,46.875000,70.312500,140.625000,1
21.623047,465.432068,0.648629,4.963281,3.838223,1.565291,6.007936,16.275764,14755.829102,12011.199219,10414.173828,46.875000,70.312500,117.187500,1
21.445070,456.761963,0.674834,5.091540,3.870078,1.588335,6.146979,16.594538,13376.222656,12715.405273,9683.083984,70.312500,46.875000,93.750000,1
18.667974,321.863617,1.044068,5.050776,4.445800,1.571229,6.985372,15.459291,11497.005859,10599.675781,7657.825684,23.437500,0.000000,46.875000,4
15.908078,252.612946,-0.219773,5.557322,3.433231,1.536020,5.273512,17.375452,8279.759766,7307.562988,7217.612305,23.437500,445.312500,421.875000,1
15.971436,254.829468,-0.249627,5.493037,3.419612,1.519053,5.194571,16.882969,8067.170898,8019.902344,7739.323242,23.437500,421.875000,46.875000,1
15.992806,255.864410,-0.402181,5.470004,3.415042,1.516132,5.177653,17.176222,9325.289062,7225.014648,7136.272461,23.437500,421.875000,445.312500,1
23.730038,464.045715,-1.480117,4.897089,1.759714,1.647407,2.898964,14.745165,20407.726562,16217.220703,12843.333984,0.000000,23.437500,140.625000,0
26.243122,678.784790,-0.449994,4.722931,2.597727,1.596441,4.147119,15.364134,21016.525391,19325.826172,10775.268555,70.312500,46.875000,93.750000,1
25.954161,662.523132,-0.432165,4.927618,2.626649,1.630283,4.282182,16.051991,20294.671875,19121.876953,11520.594727,46.875000,70.312500,93.750000,1
25.831556,651.181763,-0.378133,5.046582,2.639116,1.648704,4.351122,16.287912,19262.474609,18644.722656,12825.812500,46.875000,70.312500,93.750000,1
19.792522,391.935486,0.725726,5.753706,3.444355,1.633951,5.627908,17.047218,14660.574219,12970.468750,7088.700195,46.875000,70.312500,23.437500,1
15.126050,211.813309,-1.065000,6.256839,2.703287,1.588282,4.293582,16.608706,8465.834961,6468.376465,6316.345215,0.000000,46.875000,468.750000,0
15.111186,212.462662,-1.087076,6.261429,2.705946,1.602325,4.335805,16.958363,8189.202637,6280.638184,5815.810547,0.000000,46.875000,468.750000,0
15.186183,218.012665,-1.097389,6.115073,2.692583,1.602158,4.313944,17.126358,7302.575684,6916.937500,5696.273438,0.000000,46.875000,445.312500,0
13.593010,184.386322,-0.382889,4.515908,3.008168,1.492215,4.488833,14.258492,8052.718262,6626.423340,5265.082031,492.187500,468.750000,140.625000,1
14.020667,196.298126,0.406246,4.686254,4.258718,1.494239,6.363541,15.743644,7813.214844,5554.835938,5347.129395,70.312500,46.875000,492.187500,1
14.549251,211.760452,0.423842,4.224865,4.103996,1.429000,5.864612,14.111264,8858.600586,6772.513184,5263.792480,70.312500,46.875000,492.187500,1
14.585605,212.459793,0.488542,4.261968,4.093767,1.415873,5.796253,13.664604,8140.235840,6712.561523,5201.307617,70.312500,46.875000,445.312500,1
19.305082,350.146332,-0.673579,5.523888,3.092971,1.562660,4.833263,16.780148,14492.381836,12929.780273,9759.938477,46.875000,70.312500,0.000000,1
20.994856,434.512817,-0.376621,4.718350,2.819717,1.524067,4.297439,15.025146,18169.728516,15087.724609,6720.974121,46.875000,70.312500,23.437500,1
21.026602,437.668732,-0.426111,4.683097,2.815460,1.509257,4.249253,14.444229,17463.449219,15929.204102,7192.146484,46.875000,70.312500,23.437500,1
21.184105,438.176453,-0.279031,4.596329,2.794527,1.475329,4.122846,13.642883,16671.443359,15655.601562,8981.526367,70.312500,46.875000,23.437500,1
22.784307,495.925171,0.684979,17.332258,6.554180,1.633409,10.705655,31.057529,12550.775391,10490.090820,9916.139648,23.437500,70.312500,0.000000,3
41.404545,1714.797485,-0.869362,11.529557,5.084373,1.895122,9.635509,31.054682,22466.535156,20609.009766,19974.876953,445.312500,421.875000,468.750000,4
41.277252,1704.644897,-0.918374,11.718849,5.100052,1.943752,9.913237,33.345448,22091.685547,20310.931641,20225.263672,445.312500,421.875000,468.750000,4
41.903530,1756.724731,-0.888125,11.075890,5.023829,1.857932,9.333930,30.351835,21149.558594,20495.066406,20391.724609,445.312500,421.875000,468.750000,4
