TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79698,1147,172,6191,1820,1107,17,38335
70331,1148,171,6192,1820,1109,18,38323
70381,1148,172,6191,1821,1107,17,38304
70382,1147,171,6191,1821,1108,18,38321
70357,1148,171,6191,1821,1104,17,38299
70317,1148,171,6191,1820,1106,18,38297
70317,1147,172,6192,1820,1107,18,38313
77240,1148,171,6191,1821,1106,17,38309
70318,1147,172,6191,1820,1106,18,38321
75885,1148,172,6191,1821,1108,18,38309
70433,1148,171,6191,1820,1107,17,38316
79701,1148,172,6191,1821,1108,17,38324
70356,1148,172,6191,1821,1109,17,38318
70305,1147,172,6172,1820,1108,17,38280
70355,1147,171,6191,1820,1107,18,38297
82644,1148,171,6185,1820,1106,18,38279
70356,1147,171,6186,1820,1109,17,38322
70469,1147,172,6178,1821,1108,18,38307
75785,1147,171,6191,1821,1105,17,38308
70419,1148,172,6177,1821,1106,18,38298
70444,1148,171,6191,1821,1107,17,38323
70354,1147,173,6192,1820,1107,18,38298
70218,1147,171,6191,1821,1108,17,38301
77165,1147,172,6191,1821,1106,17,38293
88894,1148,171,6192,1820,1107,18,38306
70393,1148,172,6181,1820,1108,17,38311
70406,1148,172,6191,1820,1108,17,38312
70393,1148,172,6191,1820,1108,17,38311
76049,1148,171,6192,1820,1107,18,38326
70341,1147,173,6192,1820,1110,18,38268
70355,1147,171,6191,1821,1108,19,38300
77254,1148,172,6191,1821,1106,18,38325
70442,1148,172,6191,1820,1105,18,38321
70369,1148,172,6182,1820,1107,18,38300
70382,1147,171,6191,1821,1105,19,38302
70394,1147,171,6191,1821,1107,18,38285
70369,1148,171,6191,1821,1107,18,38316
79712,1148,171,6191,1821,1106,18,38318
75821,1148,172,6191,1821,1106,18,38318
77264,1147,171,6188,1820,1109,17,38311
70430,1148,172,6191,1820,1109,18,38328
70430,1148,172,6182,1820,1107,19,38313
70432,1148,172,6191,1821,1109,17,38289
70382,1148,171,6175,1820,1107,19,38296
70369,1147,171,6191,1821,1109,17,38330
70317,1148,172,6191,1821,1107,18,38322
70329,1148,172,6172,1820,1108,18,38309
77203,1147,171,6191,1821,1107,18,38310
76008,1147,172,6192,1820,1107,17,38315
70432,1148,171,6191,1821,1106,17,38284
79839,1147,172,6191,1821,1109,18,38327
70295,1147,171,6191,1821,1107,18,38320
70406,1147,171,6191,1820,1106,18,38305
70353,1148,172,6170,1820,1106,18,38262
70404,1148,172,6192,1820,1106,17,38317
77227,1148,172,6191,1821,1106,17,38299
70393,1148,172,6191,1821,1106,18,38321
70407,1147,171,6191,1821,1109,17,38326
76072,1147,172,6191,1821,1108,19,38324
70432,1147,172,6186,1820,1110,17,38294
70406,1147,171,6191,1820,1108,19,38326
70304,1148,172,6191,1820,1107,18,38325
70304,1147,171,6191,1820,1104,18,38277
86648,1148,171,6174,1820,1107,17,38273
70356,1147,172,6191,1820,1106,18,38317
70394,1147,171,6188,1820,1106,18,38295
70407,1148,172,6192,1820,1109,18,38298
70407,1147,171,6172,1820,1106,17,38287
75834,1148,172,6192,1821,1109,17,38305
70354,1147,171,6183,1821,1108,17,38276
70368,1147,171,6191,1821,1109,17,38322
77215,1148,172,6168,1820,1106,17,38295
70330,1147,173,6192,1820,1111,17,38324
70381,1147,172,6183,1821,1104,19,38304
70394,1148,172,6191,1821,1107,18,38307
70869,1147,173,6191,1821,1107,18,38322
85155,1147,171,6191,1821,1108,18,38316
75808,1147,171,6191,1820,1106,18,38301
70318,1148,171,6191,1821,1108,18,38320
77314,1148,172,6192,1820,1107,18,38322
70381,1147,171,6191,1820,1106,17,38297
79688,1147,172,6191,1820,1106,17,38309
70369,1147,172,6191,1821,1107,17,38315
70483,1148,171,6191,1820,1108,17,38312
70369,1148,171,6191,1820,1107,18,38301
70366,1148,172,6189,1820,1107,18,38319
70330,1147,172,6191,1821,1106,19,38296
77290,1148,171,6192,1820,1109,17,38287
75647,1147,171,6185,1820,1107,19,38316
79751,1148,171,6175,1821,1108,17,38282
70306,1147,172,6168,1821,1105,17,38275
70306,1148,172,6192,1820,1110,18,38325
70294,1147,172,6191,1820,1108,18,38294
70231,1147,171,6191,1821,1107,18,38308
70242,1148,172,6171,1820,1108,18,38300
77152,1147,171,6192,1820,1105,17,38291
70269,1147,171,6169,1821,1105,17,38289
70331,1147,173,6192,1820,1107,17,38280
75936,1148,172,6191,1821,1108,17,38318
70394,1149,171,6192,1820,1107,19,38305
70368,1147,171,6172,1821,1109,17,38309
70230,1148,172,6191,1821,1106,18,38303
79511,1148,171,6189,1821,1106,17,38324
77177,1148,171,6173,1820,1106,19,38270
70293,1148,172,6191,1821,1107,17,38324
70356,1147,172,6191,1820,1106,18,38302
70381,1149,171,6191,1820,1105,18,38320
75973,1148,171,6191,1821,1109,18,38311
70344,1148,171,6191,1821,1106,17,38304
70354,1148,172,6182,1820,1107,18,38298
70355,1147,171,6191,1821,1107,18,38319
77127,1147,172,6191,1821,1107,18,38315
70280,1148,172,6192,1820,1107,19,38295
70369,1148,172,6191,1821,1108,18,38304
70394,1148,172,6191,1821,1106,18,38299
70444,1147,171,6191,1821,1109,18,38304
79712,1147,171,6191,1821,1107,18,38322
75695,1147,171,6177,1820,1107,17,38286
70342,1147,171,6191,1821,1105,18,38321
77251,1147,172,6183,1820,1107,17,38302
70318,1147,172,6191,1820,1108,18,38323
70420,1148,171,6191,1820,1108,18,38325
70370,1148,171,6191,1820,1110,17,38303
70369,1148,171,6192,1820,1107,18,38299
70356,1148,172,6172,1820,1107,17,38277
70304,1147,172,6191,1821,1108,18,38305
70330,1148,172,6191,1821,1109,18,38310
77239,1148,172,6182,1820,1107,19,38308
75823,1147,171,6169,1821,1108,17,38288
79926,1147,172,6191,1821,1107,18,38319
70405,1148,171,6191,1820,1106,17,38309
70369,1148,172,6182,1820,1105,18,38290
70343,1148,172,6191,1821,1107,18,38319
70306,1147,171,6191,1821,1106,17,38315
70405,1147,171,6191,1821,1107,17,38319
82606,1147,171,6178,1821,1107,17,38289
70355,1147,173,6192,1820,1107,18,38314
75886,1148,172,6191,1820,1106,17,38320
79825,1148,172,6175,1821,1108,19,38306
70419,1147,171,6167,1821,1108,18,38303
70406,1148,172,6191,1821,1106,19,38309
70304,1148,172,6192,1820,1109,18,38316
79661,1147,172,6191,1821,1110,18,38304
77227,1147,171,6191,1821,1107,18,38292
70343,1148,171,6191,1820,1108,18,38301
70456,1148,171,6171,1820,1109,18,38302
70406,1148,172,6192,1820,1107,17,38293
76023,1148,171,6178,1820,1107,17,38278
70431,1149,171,6192,1821,1109,17,38296
70441,1148,172,6182,1820,1106,18,38307
70354,1147,171,6192,1820,1105,17,38282
77204,1148,171,6191,1821,1108,19,38279
70318,1148,172,6192,1820,1107,17,38277
70432,1148,172,6191,1821,1105,19,38300
70432,1148,171,6174,1821,1108,17,38281
79726,1147,172,6191,1821,1107,18,38297
70380,1147,171,6191,1821,1108,18,38276
75846,1148,171,6191,1821,1109,17,38320
70343,1148,172,6191,1821,1108,17,38317
77264,1149,171,6171,1820,1110,17,38309
70330,1148,172,6191,1821,1105,17,38320
70368,1147,171,6191,1821,1108,17,38317
70382,1148,172,6191,1821,1108,18,38307
70395,1147,171,6189,1820,1107,17,38317
70419,1148,171,6191,1820,1108,18,38312
70317,1148,171,6173,1821,1109,17,38300
70343,1147,171,6191,1821,1106,19,38303
82718,1147,172,6192,1820,1107,18,38315
79750,1148,172,6185,1821,1110,19,38294
70483,1147,171,6191,1821,1106,17,38313
70382,1147,172,6178,1820,1109,17,38265
70431,1148,172,6191,1821,1107,17,38322
70368,1148,172,6192,1820,1107,18,38314
