TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79509,1147,171,6191,1841,1104,18,38395
70318,1148,171,6177,1841,1104,17,38354
70329,1148,172,6168,1840,1102,17,38361
75809,1147,171,6191,1840,1101,17,38365
70355,1147,172,6178,1840,1104,17,38345
70342,1149,171,6191,1841,1106,18,38373
70341,1148,172,6192,1840,1103,17,38388
77240,1148,171,6192,1840,1106,17,38385
70344,1148,172,6191,1840,1108,17,38374
70432,1147,171,6186,1840,1105,17,38373
70381,1148,172,6191,1840,1104,17,38369
79776,1148,172,6177,1840,1105,17,38334
75835,1147,171,6191,1841,1105,17,38364
70343,1148,172,6177,1841,1103,17,38352
70392,1147,171,6188,1840,1102,17,38384
77214,1148,172,6172,1839,1103,17,38362
70331,1148,172,6191,1840,1102,18,38387
70332,1148,172,6175,1840,1103,18,38371
70383,1148,171,6191,1840,1105,17,38387
70381,1148,172,6191,1840,1104,17,38377
70369,1148,171,6191,1840,1104,18,38373
70380,1147,172,6192,1840,1104,17,38373
70330,1147,171,6192,1840,1104,17,38369
97554,1147,171,6191,1840,1102,18,38383
79861,1147,172,6172,1839,1106,17,38335
70432,1148,171,6172,1840,1104,17,38369
70369,1147,171,6191,1840,1105,18,38382
70420,1147,171,6191,1840,1105,17,38361
70369,1148,171,6191,1840,1105,18,38372
70267,1147,171,6191,1841,1102,18,38383
70317,1148,172,6181,1840,1106,17,38361
77227,1148,172,6191,1840,1105,17,38342
70369,1148,171,6191,1840,1105,17,38366
75886,1148,172,6192,1840,1103,17,38378
70419,1147,172,6191,1840,1105,17,38391
70381,1147,172,6191,1840,1106,18,38351
70345,1148,171,6191,1840,1106,17,38385
79699,1147,172,6191,1840,1104,18,38391
70330,1147,172,6168,1840,1104,17,38323
77277,1148,172,6192,1840,1103,17,38381
70330,1148,171,6191,1840,1103,17,38370
70379,1147,171,6191,1840,1106,17,38386
75759,1147,173,6192,1839,1103,17,38383
70330,1148,171,6191,1841,1102,17,38374
70355,1148,172,6191,1840,1104,18,38374
70343,1147,171,6191,1840,1103,17,38386
70343,1148,171,6191,1840,1105,17,38383
77202,1148,172,6192,1839,1104,18,38379
70317,1147,171,6174,1841,1103,18,38327
70383,1147,171,6186,1840,1103,17,38378
79764,1148,171,6192,1840,1103,17,38360
70395,1147,172,6186,1840,1105,17,38362
75947,1148,171,6191,1841,1105,17,38375
70330,1148,171,6192,1840,1104,18,38384
70343,1147,172,6186,1841,1104,17,38381
77213,1148,172,6189,1840,1104,17,38383
70317,1148,172,6192,1840,1108,18,38394
70368,1148,171,6192,1840,1104,17,38385
70382,1148,171,6184,1840,1102,18,38377
70382,1148,171,6191,1840,1102,17,38385
70369,1147,171,6191,1840,1105,18,38390
70330,1148,171,6167,1840,1104,17,38351
70330,1148,172,6190,1840,1103,17,38370
92076,1147,171,6191,1841,1103,17,38384
70368,1148,172,6191,1840,1105,17,38336
70356,1148,172,6191,1840,1105,17,38373
70344,1148,172,6192,1839,1104,17,38356
70370,1147,171,6191,1840,1103,17,38387
70356,1147,171,6185,1840,1103,17,38361
70305,1148,172,6167,1841,1105,17,38345
70367,1148,172,6191,1840,1104,17,38369
77226,1147,173,6191,1839,1106,17,38387
75960,1148,172,6167,1841,1104,18,38362
70368,1148,171,6191,1840,1104,17,38369
70406,1149,171,6169,1840,1104,18,38364
70368,1147,173,6191,1841,1104,17,38341
79700,1148,172,6192,1840,1103,17,38372
70255,1148,172,6191,1841,1105,17,38386
70318,1148,172,6191,1841,1103,17,38349
86384,1147,172,6191,1840,1105,17,38354
70342,1147,172,6192,1839,1102,17,38368
70380,1147,172,6192,1840,1104,18,38368
76299,1148,172,6191,1840,1104,18,38367
75811,1147,172,6172,1839,1105,17,38367
70444,1148,171,6191,1841,1103,17,38386
70255,1148,171,6191,1841,1103,17,38329
70343,1148,172,6191,1840,1103,18,38356
77202,1147,173,6191,1841,1102,18,38372
70317,1148,171,6191,1841,1103,18,38383
79726,1148,172,6182,1840,1101,17,38378
70320,1148,172,6191,1840,1104,18,38364
70282,1147,171,6167,1841,1103,18,38333
75897,1148,171,6173,1840,1103,17,38362
70355,1147,172,6192,1840,1104,18,38384
70205,1148,172,6178,1840,1106,17,38370
77114,1147,171,6191,1840,1102,17,38357
70242,1148,172,6174,1840,1104,17,38370
70308,1148,171,6191,1841,1102,18,38381
70282,1148,171,6191,1840,1105,17,38382
70331,1148,172,6192,1840,1103,19,38365
70382,1148,172,6183,1840,1104,18,38379
70243,1148,171,6191,1840,1105,17,38391
