TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79538,1147,172,6191,1819,1094,17,38230
70367,1148,172,6190,1819,1094,16,38253
70419,1148,172,6191,1819,1095,17,38265
70482,1148,171,6191,1819,1098,18,38277
70370,1148,171,6191,1819,1101,18,38269
70344,1147,171,6191,1819,1101,18,38293
70317,1148,172,6192,1818,1101,18,38273
82694,1149,171,6192,1818,1101,18,38285
70369,1148,172,6173,1819,1098,18,38272
70370,1148,171,6191,1819,1100,18,38255
70357,1147,171,6191,1819,1099,17,38292
79700,1149,171,6170,1819,1098,17,38260
70355,1147,172,6173,1819,1099,17,38261
70331,1147,171,6191,1819,1097,18,38261
70330,1148,172,6191,1819,1095,17,38272
77253,1148,172,6172,1819,1094,17,38237
75772,1147,172,6192,1818,1095,18,38233
70482,1148,172,6173,1819,1096,18,38255
70395,1147,171,6191,1819,1095,17,38250
70270,1148,171,6191,1819,1095,17,38260
70331,1148,172,6192,1819,1097,18,38279
75735,1148,172,6192,1818,1095,17,38264
70305,1147,172,6174,1819,1100,18,38259
77242,1148,171,6168,1819,1098,18,38242
79762,1147,171,6179,1819,1099,18,38253
70343,1147,173,6192,1818,1100,18,38276
75886,1147,171,6191,1819,1100,18,38285
70394,1147,172,6192,1819,1100,17,38289
70344,1148,171,6174,1819,1099,18,38259
70307,1148,171,6191,1819,1098,18,38262
70305,1148,171,6171,1819,1098,18,38234
77228,1147,172,6192,1819,1097,18,38243
70344,1148,172,6178,1819,1099,17,38245
70419,1148,172,6190,1819,1100,18,38290
70380,1147,172,6191,1819,1101,18,38272
70382,1148,172,6191,1819,1099,18,38284
70382,1148,172,6191,1819,1099,18,38259
94835,1148,172,6191,1819,1099,18,38274
70318,1148,171,6171,1818,1099,18,38239
77228,1148,172,6191,1819,1097,18,38257
70369,1147,171,6167,1819,1098,17,38255
70368,1148,172,6192,1819,1099,18,38253
70431,1148,172,6182,1818,1098,17,38270
70369,1147,171,6191,1819,1098,18,38278
70370,1148,171,6191,1819,1098,17,38259
70368,1147,171,6169,1819,1098,17,38232
75922,1148,172,6191,1819,1096,17,38272
77278,1148,172,6171,1818,1097,18,38241
70394,1148,171,6191,1819,1102,17,38264
70283,1147,171,6191,1819,1100,18,38260
79739,1147,171,6191,1819,1099,17,38285
70356,1148,172,6191,1819,1097,18,38273
70356,1147,173,6191,1819,1099,18,38283
70331,1147,172,6176,1819,1100,17,38261
70393,1148,172,6178,1819,1101,17,38258
77265,1147,172,6192,1819,1099,18,38263
75822,1149,171,6191,1819,1097,17,38283
70393,1148,172,6183,1818,1097,18,38265
70357,1148,171,6191,1819,1095,17,38259
70345,1147,172,6191,1819,1095,18,38271
70331,1148,171,6192,1818,1095,17,38267
70318,1147,171,6191,1819,1096,18,38268
70331,1147,171,6191,1819,1096,18,38261
86610,1147,171,6192,1819,1095,18,38271
70381,1148,172,6192,1818,1096,19,38275
70394,1148,171,6174,1819,1095,17,38250
76099,1148,171,6191,1819,1094,17,38266
70506,1149,171,6191,1818,1094,18,38260
70331,1148,171,6191,1819,1094,18,38247
70369,1147,172,6191,1819,1101,18,38265
70318,1147,172,6191,1819,1097,18,38283
77240,1148,172,6192,1819,1099,18,38243
70394,1148,171,6191,1819,1095,18,38281
70381,1148,172,6188,1819,1096,18,38270
70381,1148,171,6192,1819,1099,18,38260
70431,1147,172,6192,1818,1101,17,38294
85329,1147,171,6191,1819,1101,17,38261
70418,1147,171,6191,1819,1098,17,38252
70192,1148,172,6191,1819,1099,17,38277
77229,1147,171,6192,1819,1102,18,38292
70856,1147,172,6191,1819,1103,18,38285
75748,1147,172,6173,1819,1100,18,38274
70433,1147,171,6186,1819,1099,18,38275
70382,1148,171,6191,1819,1096,18,38259
70381,1148,172,6181,1819,1096,17,38253
70356,1147,171,6191,1819,1095,18,38250
75871,1148,172,6171,1819,1097,17,38251
77317,1147,171,6191,1819,1094,17,38269
70381,1147,172,6177,1819,1095,18,38222
79663,1148,172,6191,1819,1095,17,38254
70281,1147,173,6191,1819,1094,17,38258
70282,1148,172,6191,1819,1094,17,38225
70331,1147,171,6191,1819,1099,17,38261
79587,1148,171,6191,1819,1099,17,38255
70268,1148,171,6173,1819,1098,18,38241
77192,1148,172,6191,1819,1099,17,38253
75797,1148,171,6191,1819,1100,17,38263
70318,1147,172,6191,1819,1098,17,38282
70282,1147,172,6191,1819,1099,18,38272
70270,1148,172,6191,1819,1096,17,38276
70268,1149,171,6191,1819,1098,17,38275
70242,1148,172,6191,1819,1098,18,38276
79588,1147,171,6191,1819,1099,18,38261
77215,1148,172,6189,1819,1101,18,38292
70367,1147,173,6191,1819,1101,18,38270
75723,1148,172,6192,1819,1099,17,38252
70369,1148,172,6191,1819,1097,17,38288
70383,1148,172,6192,1819,1098,17,38276
70268,1149,171,6191,1819,1100,18,38290
70242,1148,172,6191,1819,1099,18,38280
70282,1148,171,6191,1819,1098,18,38263
77191,1147,172,6172,1818,1097,18,38263
70306,1147,171,6191,1819,1101,18,38287
70332,1147,171,6167,1819,1101,17,38239
70331,1148,171,6191,1819,1100,17,38291
70381,1148,172,6191,1819,1096,18,38260
85167,1147,171,6191,1819,1099,18,38256
70318,1148,172,6182,1819,1099,18,38267
70356,1148,172,6192,1819,1099,18,38268
77215,1147,171,6191,1819,1099,17,38278
70381,1147,172,6192,1818,1101,17,38289
70356,1147,171,6191,1819,1099,17,38257
70370,1148,171,6187,1819,1099,18,38273
70419,1147,171,6191,1819,1099,18,38273
70381,1147,172,6182,1819,1097,17,38250
70356,1147,171,6191,1819,1097,17,38277
75810,1148,172,6191,1819,1096,18,38275
77329,1148,171,6191,1819,1096,17,38270
70331,1147,171,6178,1819,1095,17,38247
79751,1147,171,6191,1819,1097,17,38255
70368,1148,172,6192,1819,1094,17,38246
70382,1147,172,6190,1819,1096,18,38273
70358,1147,171,6191,1819,1094,17,38250
70342,1149,171,6170,1818,1095,17,38252
70343,1148,171,6191,1819,1097,17,38255
82857,1148,171,6192,1818,1095,16,38271
70406,1147,172,6173,1819,1094,17,38250
70408,1147,171,6191,1819,1097,17,38238
70343,1147,172,6191,1819,1096,18,38233
70344,1148,172,6183,1818,1094,17,38256
70431,1147,171,6191,1819,1093,17,38252
75835,1148,172,6192,1819,1095,17,38256
79738,1148,171,6191,1819,1094,17,38268
77241,1148,172,6191,1819,1095,18,38258
70356,1148,171,6191,1819,1096,18,38274
75835,1148,171,6191,1819,1098,17,38251
70444,1147,172,6169,1819,1098,17,38233
70344,1148,172,6191,1819,1099,17,38267
70381,1147,171,6191,1819,1098,17,38285
70307,1148,172,6191,1819,1100,17,38270
79537,1148,171,6189,1819,1099,17,38250
77228,1148,171,6173,1819,1097,17,38242
70332,1148,171,6191,1819,1096,17,38268
70369,1147,171,6191,1819,1094,18,38265
70381,1147,172,6192,1818,1096,18,38249
85167,1148,171,6191,1819,1095,18,38268
70431,1148,172,6191,1819,1095,18,38270
70355,1147,173,6191,1819,1094,18,38270
70306,1148,172,6191,1819,1098,18,38245
77265,1148,172,6191,1819,1098,17,38278
70343,1148,172,6191,1819,1099,18,38273
70370,1147,171,6191,1819,1098,17,38284
70370,1147,172,6191,1819,1096,18,38253
70368,1148,172,6191,1819,1096,17,38279
70380,1148,172,6182,1819,1100,17,38254
75973,1148,172,6191,1819,1099,18,38270
70355,1148,172,6191,1818,1100,17,38288
77278,1148,172,6191,1819,1100,18,38287
79700,1148,171,6191,1819,1101,18,38290
70279,1147,172,6191,1819,1097,18,38282
70291,1147,173,6191,1819,1101,18,38288
70292,1147,171,6186,1819,1098,17,38253
70292,1148,171,6191,1819,1096,17,38268
70341,1148,172,6191,1818,1099,18,38277
70355,1147,172,6191,1819,1100,17,38247
