RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
656.686462,431446.812500,0.929199,46.220047,9.933966,4.529737,44.998249,1070.097046,166290.515625,165753.859375,165107.250000,1195.312500,1171.875000,1218.750000,4
1036.693359,1075239.500000,-0.078887,12.766818,6.292603,2.303078,14.492360,100.482758,343425.250000,315211.312500,311788.781250,1125.000000,1382.812500,1101.562500,3
1213.312134,1472846.125000,-0.085877,7.739303,5.376606,1.744491,9.379439,38.057304,402752.656250,396920.125000,344067.656250,1453.125000,1148.437500,1382.812500,0
1275.226318,1626990.000000,-0.072294,6.599552,5.115563,1.564862,8.005151,24.918764,458119.875000,433315.687500,391170.843750,1148.437500,1453.125000,1078.125000,0
1101.577759,1214049.500000,-0.308033,6.023602,3.584116,1.544416,5.535364,18.745604,401122.812500,341000.312500,322395.437500,1453.125000,1148.437500,1242.187500,1
1444.241699,2086847.875000,-1.959043,38.169048,7.184830,1.957022,14.060871,58.778728,434482.468750,429448.437500,391119.687500,1546.875000,1406.250000,1593.750000,2
2204.126221,4860508.000000,0.250214,19.329910,7.067458,2.103006,14.862908,54.652260,846272.562500,653493.812500,595905.562500,1148.437500,1078.125000,1171.875000,4
2174.005127,4728609.000000,0.253950,20.391611,7.165379,2.229624,15.976100,62.618164,738999.812500,673951.437500,622092.250000,1148.437500,1125.000000,1171.875000,4
2236.501221,5003883.000000,0.266238,18.307371,6.965152,2.059983,14.348092,53.233852,864288.187500,707369.125000,697009.750000,1148.437500,1125.000000,1078.125000,2
1958.225586,3836513.000000,1.144451,20.121435,7.954942,1.976431,15.722391,45.459030,718912.875000,640802.062500,533150.062500,1078.125000,1148.437500,1125.000000,1
974.705505,950310.812500,0.087901,5.452907,4.397529,1.518409,6.677248,19.175844,343858.468750,311135.187500,259830.031250,1171.875000,1101.562500,1125.000000,0
1166.611450,1361634.750000,0.206699,5.609615,4.880201,1.498091,7.310983,19.892984,389351.937500,346689.687500,339594.968750,1195.312500,1406.250000,1125.000000,1
1043.287354,1088160.375000,0.170321,6.899624,5.457076,1.555098,8.486288,23.455055,319727.718750,289257.468750,276105.875000,1195.312500,1125.000000,1406.250000,3
2063.949219,4261962.000000,0.740587,23.967255,7.964721,2.116113,16.854252,54.105698,770759.375000,732121.500000,645766.750000,1218.750000,1195.312500,1148.437500,2
2345.023682,5501587.000000,0.355079,17.302628,7.010070,2.050340,14.373029,47.227859,1067443.375000,887649.250000,829612.250000,1148.437500,1125.000000,1078.125000,0
2256.682129,5095030.000000,0.367874,19.957764,7.284491,2.231205,16.253195,56.580456,902792.562500,859750.750000,847859.562500,1148.437500,1171.875000,1125.000000,1
2280.607910,5203383.500000,0.369622,19.150745,7.208069,2.091327,15.074431,48.851395,1006012.062500,836844.937500,798106.000000,1148.437500,1125.000000,1078.125000,2
1418.908081,2014270.875000,-0.786676,22.355532,7.919420,1.806933,14.309864,45.020264,538753.625000,536939.250000,429965.312500,1195.312500,1148.437500,1335.937500,0
862.634094,744404.562500,0.107719,4.318954,4.099436,1.424824,5.840973,15.924153,228989.046875,223995.265625,206306.687500,1289.062500,1125.000000,1218.750000,1
1062.234985,1128893.250000,0.409675,7.881905,6.789671,1.477163,10.029449,25.688808,358446.218750,327541.000000,303558.187500,1148.437500,1218.750000,1101.562500,1
1010.939392,1022494.000000,0.461374,9.369832,7.134182,1.574516,11.232884,30.264139,313735.593750,281624.500000,230389.375000,1171.875000,1101.562500,1148.437500,0
2098.627686,4404856.000000,0.670714,17.079996,7.617126,2.066844,15.743416,49.923622,802407.250000,741719.000000,691910.750000,1148.437500,1078.125000,1406.250000,0
2119.397949,4493839.500000,0.616410,16.422176,7.542478,2.024735,15.271520,47.963074,887197.750000,753640.250000,701429.000000,1148.437500,1125.000000,1218.750000,3
2026.911255,4110372.250000,0.636497,19.159361,7.886636,2.173280,17.139870,56.037521,763814.562500,726094.125000,700438.875000,1125.000000,1101.562500,1148.437500,2
2038.142334,4156044.750000,0.622322,18.741343,7.843177,2.090460,16.395845,50.426601,812907.250000,718070.625000,700329.437500,1148.437500,1125.000000,1171.875000,0
844.261780,711517.062500,0.153787,5.433935,5.307714,1.469624,7.800343,20.259344,283789.468750,233127.015625,210210.609375,1476.562500,1500.000000,1148.437500,1
1252.132812,1568226.875000,0.348721,13.378675,7.303925,1.714588,12.523220,36.227058,484797.937500,411626.656250,389342.625000,1148.437500,1195.312500,1171.875000,4
1311.166260,1719993.000000,0.244004,11.677904,6.975076,1.674673,11.680970,33.662945,609177.875000,445517.312500,404414.906250,1148.437500,1171.875000,1195.312500,4
1291.457642,1668658.500000,0.259284,12.377599,7.081521,1.758590,12.453495,38.134666,530133.125000,515890.406250,355935.031250,1148.437500,1171.875000,1523.437500,2
