TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
80901,1172,264,6167,1818,1108,380
80901,1172,7570,6166,1818,1105,380
80901,1172,676,6166,1819,1105,379
80901,1172,675,6167,1819,1104,379
70308,1172,264,6167,1819,1104,380
70308,1172,7572,6166,1819,1107,381
70308,1172,675,6167,1819,1104,381
70308,1172,675,6166,1818,1104,382
70331,1173,264,6167,1819,1105,381
70331,1173,7573,6167,1818,1107,382
70331,1173,674,6167,1819,1112,382
70331,1173,678,6167,1819,1108,380
79476,1172,264,6166,1818,1108,379
79476,1172,7569,6167,1819,1105,380
79476,1172,676,6166,1819,1110,380
79476,1172,671,6167,1819,1110,379
70333,1172,264,6167,1819,1111,380
70333,1172,7566,6167,1819,1104,380
70333,1172,677,6166,1819,1107,379
70333,1172,674,6167,1818,1107,378
70281,1172,264,6166,1819,1106,381
70281,1172,7571,6167,1819,1110,379
70281,1172,671,6167,1819,1110,382
70281,1172,678,6166,1819,1110,382
70342,1172,265,6167,1819,1110,382
70342,1172,7574,6167,1818,1108,382
70342,1172,672,6167,1819,1108,382
70342,1172,2459,6167,1819,1107,381
82069,1173,264,6167,1819,1106,382
82069,1173,7569,6166,1818,1107,379
82069,1173,673,6168,1818,1106,382
82069,1173,674,6166,1819,1107,383
70368,1172,265,6166,1819,1107,381
70368,1172,7567,6167,1818,1111,383
70368,1172,678,6167,1819,1107,380
70368,1172,673,6167,1819,1109,379
70321,1172,264,6167,1818,1110,379
70321,1172,7571,6166,1819,1112,382
70321,1172,678,6167,1819,1105,382
70321,1172,676,6167,1819,1107,381
70320,1171,263,6166,1819,1105,383
70320,1171,7567,6167,1819,1110,379
70320,1171,2456,6168,1818,1111,381
70320,1171,678,6166,1819,1109,379
79650,1172,264,6166,1819,1107,379
79650,1172,7567,6166,1819,1108,379
79650,1172,673,6167,1818,1105,380
79650,1172,675,6167,1819,1105,380
70305,1172,265,6167,1819,1103,380
70305,1172,7566,6167,1819,1108,380
70305,1172,673,6167,1819,1105,380
70305,1172,674,6166,1819,1107,378
70293,1171,264,6167,1819,1107,380
70293,1171,7565,6166,1819,1105,380
70293,1171,676,6167,1819,1107,379
70293,1171,675,6166,1819,1108,380
70331,1172,264,6167,1819,1107,381
70331,1172,9359,6166,1819,1106,378
70331,1172,673,6167,1819,1108,380
70331,1172,673,6166,1819,1107,380
82782,1172,264,6166,1819,1109,380
82782,1172,7564,6167,1819,1109,381
82782,1172,672,6168,1818,1109,381
82782,1172,672,6167,1819,1107,382
70356,1173,264,6167,1819,1108,381
