TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
228939,1172,264,6166,1819,1112,380
228939,1172,7568,6166,1818,1102,379
228939,1172,669,6166,1819,1103,379
228939,1172,669,6167,1818,1105,380
70331,1172,264,6167,1819,1103,379
70331,1172,7567,6166,1819,1104,379
70331,1172,668,6168,1818,1103,380
70331,1172,669,6167,1819,1104,380
70342,1172,265,6167,1819,1102,380
70342,1172,7565,6167,1818,1103,380
70342,1172,668,6167,1819,1102,380
70342,1172,670,6167,1819,1102,379
79487,1171,264,6166,1819,1103,379
79487,1171,7570,6167,1819,1104,381
79487,1171,677,6166,1818,1103,379
79487,1171,670,6166,1819,1102,379
70344,1172,264,6167,1819,1101,380
70344,1172,7565,6166,1819,1100,379
70344,1172,672,6168,1818,1103,380
70344,1172,670,6167,1819,1104,380
70342,1172,265,6167,1819,1105,379
70342,1172,7570,6168,1818,1104,380
70342,1172,677,6167,1819,1102,380
70342,1172,670,6167,1819,1106,379
70305,1172,264,6168,1818,1107,379
70305,1172,7571,6166,1819,1103,379
70305,1172,668,6166,1819,1102,379
70305,1172,2454,6168,1818,1102,380
82544,1172,263,6166,1819,1102,380
82544,1172,7565,6166,1819,1102,379
82544,1172,671,6167,1819,1104,379
82544,1172,667,6167,1819,1105,379
70355,1173,264,6167,1819,1103,380
70355,1173,7569,6166,1819,1103,380
70355,1173,668,6167,1819,1104,380
70355,1173,668,6167,1819,1108,380
70457,1172,265,6167,1819,1103,380
70457,1172,7571,6167,1818,1103,380
70457,1172,668,6167,1819,1103,380
70457,1172,669,6167,1819,1105,380
70408,1171,264,6167,1819,1104,379
70408,1171,7567,6167,1819,1104,379
70408,1171,2462,6166,1819,1102,380
70408,1171,670,6168,1818,1105,380
70420,1172,264,6166,1819,1104,380
70420,1172,7563,6166,1819,1101,379
70420,1172,670,6168,1818,1102,379
70420,1172,669,6166,1819,1104,381
70394,1172,264,6167,1819,1100,379
70394,1172,7566,6167,1818,1104,380
70394,1172,677,6167,1819,1105,380
70394,1172,668,6167,1819,1105,379
70306,1172,264,6166,1819,1104,379
70306,1172,7565,6166,1819,1103,380
70306,1172,669,6166,1818,1102,378
