TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
216522,1172,264,6167,1821,1093,379
216522,1172,7570,6166,1821,1095,381
216522,1172,676,6166,1820,1094,382
216522,1172,677,6168,1820,1094,382
70357,1173,264,6167,1821,1093,381
70357,1173,7565,6166,1821,1094,381
70357,1173,676,6166,1821,1094,382
70357,1173,676,6167,1821,1094,382
70395,1172,264,6166,1820,1094,381
70395,1172,7570,6167,1821,1094,381
70395,1172,676,6166,1820,1096,382
70395,1172,675,6167,1821,1095,381
85093,1172,264,6166,1821,1096,381
85093,1172,7570,6166,1821,1097,381
85093,1172,673,6166,1821,1099,381
85093,1172,671,6167,1821,1098,381
70420,1172,265,6166,1821,1101,380
70420,1172,7565,6167,1820,1099,381
70420,1172,671,6166,1821,1101,381
70420,1172,670,6167,1821,1101,380
70432,1172,264,6168,1820,1101,381
70432,1172,7570,6166,1821,1103,381
70432,1172,677,6167,1820,1103,380
70432,1172,675,6167,1821,1102,380
70495,1172,264,6168,1820,1101,380
70495,1172,7584,6167,1820,1102,380
70495,1172,677,6167,1821,1100,381
70495,1172,2456,6167,1821,1100,381
77253,1173,264,6166,1820,1100,381
77253,1173,7570,6167,1820,1102,381
77253,1173,678,6167,1820,1100,381
77253,1173,670,6167,1821,1100,380
70370,1172,265,6167,1821,1100,380
70370,1172,7572,6167,1821,1103,380
70370,1172,676,6167,1821,1098,380
70370,1172,673,6167,1820,1097,380
70408,1172,264,6167,1821,1097,380
70408,1172,7572,6167,1820,1097,379
70408,1172,672,6166,1820,1101,380
70408,1172,670,6167,1820,1101,380
70420,1172,264,6166,1821,1100,380
70420,1172,7565,6167,1821,1099,379
70420,1172,2456,6167,1821,1100,381
70420,1172,670,6166,1820,1100,380
70421,1172,265,6167,1820,1097,380
70421,1172,7566,6167,1821,1101,381
70421,1172,678,6166,1821,1098,382
70421,1172,673,6167,1821,1098,380
75836,1172,264,6166,1820,1098,380
75836,1172,7567,6167,1820,1096,379
75836,1172,674,6167,1821,1097,380
75836,1172,673,6166,1820,1099,379
70380,1172,265,6167,1820,1098,380
70380,1172,7572,6167,1821,1099,379
70380,1172,670,6166,1821,1098,378
70380,1172,673,6167,1821,1096,378
70431,1172,264,6167,1819,1097,378
70431,1172,9350,6167,1820,1094,380
70431,1172,677,6166,1821,1094,379
70431,1172,675,6167,1819,1094,381
77253,1173,264,6166,1821,1096,379
77253,1173,7566,6167,1820,1097,379
77253,1173,674,6167,1820,1094,381
77253,1173,676,6166,1820,1095,380
70357,1171,264,6166,1820,1095,378
70357,1171,7564,6167,1821,1094,380
70357,1171,675,6166,1820,1096,378
70357,1171,674,6167,1820,1095,379
70408,1171,263,6166,1820,1095,379
70408,1171,7565,6167,1820,1093,378
70408,1171,669,6166,1820,1098,377
70408,1171,673,6168,1820,1096,378
79589,1172,264,6166,1821,1097,377
79589,1172,7568,6166,1820,1095,381
79589,1172,676,6168,1820,1095,381
79589,1172,676,6167,1820,1095,381
70419,1172,264,6166,1820,1095,379
70419,1172,7570,6167,1820,1096,379
70419,1172,675,6167,1821,1095,380
70419,1172,676,6167,1821,1094,378
70407,1172,265,6167,1821,1095,378
70407,1172,7565,6167,1821,1100,378
70407,1172,671,6167,1820,1096,378
70407,1172,674,6166,1821,1097,378
75761,1171,264,6166,1821,1096,377
75761,1171,7498,6166,1820,1094,380
75761,1171,676,6167,1821,1094,379
75761,1171,2462,6166,1820,1094,379
70381,1172,263,6166,1820,1095,380
70381,1172,7566,6166,1820,1095,378
70381,1172,677,6167,1821,1099,380
70381,1172,671,6167,1820,1100,380
77329,1172,264,6166,1820,1100,379
77329,1172,7565,6167,1819,1098,380
77329,1172,673,6166,1821,1098,381
77329,1172,672,6167,1820,1098,380
70344,1171,264,6167,1820,1099,381
70344,1171,7565,6167,1820,1099,380
70344,1171,672,6166,1820,1098,380
70344,1171,672,6166,1820,1100,380
70396,1172,264,6167,1821,1099,381
70396,1172,7565,6166,1820,1100,380
70396,1172,2457,6167,1819,1100,381
70396,1172,671,6167,1820,1100,381
70307,1172,265,6166,1820,1100,380
70307,1172,7566,6167,1820,1102,381
70307,1172,678,6167,1820,1101,381
70307,1172,669,6166,1820,1100,381
70333,1171,264,6167,1820,1100,381
70333,1171,7566,6166,1821,1101,381
70333,1171,670,6167,1821,1100,381
70333,1171,672,6167,1820,1099,380
70307,1171,264,6166,1820,1099,381
70307,1171,7583,6167,1821,1100,381
70307,1171,671,6167,1820,1100,381
70307,1171,670,6166,1820,1100,381
75759,1171,264,6167,1820,1099,381
75759,1171,675,6167,1820,1101,379
75759,1171,668,6166,1821,1099,380
75759,1171,672,6168,1820,1099,380
175481,1172,264,6167,1820,1097,380
175481,1172,7573,6167,1821,1097,379
175481,1172,674,6166,1821,1096,380
175481,1172,674,6166,1821,1097,380
77240,1172,264,6167,1821,1097,380
77240,1172,7568,6167,1820,1097,380
77240,1172,674,6167,1821,1096,381
77240,1172,674,6167,1820,1097,380
79526,1172,265,6167,1820,1097,380
79526,1172,7570,6166,1821,1100,380
79526,1172,670,6166,1820,1099,381
79526,1172,2457,6167,1821,1100,380
70384,1172,264,6167,1821,1101,381
70384,1172,7567,6167,1820,1100,380
70384,1172,671,6167,1821,1100,381
70384,1172,670,6167,1819,1099,381
70420,1172,264,6166,1821,1100,380
70420,1172,7566,6167,1820,1100,381
70420,1172,670,6167,1820,1099,381
70420,1172,671,6167,1821,1101,381
70445,1172,265,6167,1820,1099,380
70445,1172,7566,6167,1820,1102,379
70445,1172,669,6166,1821,1099,380
70445,1172,671,6167,1821,1099,380
70382,1172,265,6167,1820,1100,380
70382,1172,7569,6167,1821,1100,381
70382,1172,2465,6167,1821,1099,381
70382,1172,671,6167,1820,1099,380
70407,1172,264,6167,1821,1099,381
70407,1172,7571,6166,1820,1100,380
70407,1172,671,6168,1820,1099,381
70407,1172,672,6167,1821,1098,381
75797,1172,264,6167,1821,1098,381
75797,1172,7571,6167,1821,1099,380
75797,1172,672,6166,1821,1098,381
75797,1172,673,6167,1819,1098,381
77253,1173,264,6167,1821,1099,381
77253,1173,7571,6166,1820,1098,381
77253,1173,672,6167,1821,1096,381
77253,1173,674,6167,1821,1096,380
70405,1172,264,6166,1820,1097,380
70405,1172,9350,6166,1820,1097,381
70405,1172,674,6167,1821,1098,380
70405,1172,673,6166,1820,1098,380
70383,1171,263,6166,1820,1099,381
70383,1171,7570,6167,1820,1098,380
70383,1171,672,6167,1821,1099,381
70383,1171,671,6166,1820,1099,381
70381,1172,264,6167,1821,1099,380
70381,1172,7571,6167,1820,1098,380
70381,1172,672,6167,1820,1098,382
70381,1172,672,6167,1821,1098,382
70394,1171,264,6167,1821,1098,381
70394,1171,7567,6167,1821,1097,382
70394,1171,674,6167,1820,1097,382
70394,1171,673,6166,1820,1098,380
79590,1172,264,6167,1819,1097,382
79590,1172,7569,6167,1820,1097,381
79590,1172,672,6166,1820,1098,381
79590,1172,674,6167,1821,1098,380
70406,1171,264,6166,1820,1098,382
70406,1171,7573,6167,1821,1098,380
70406,1171,674,6166,1821,1098,381
70406,1171,672,6166,1820,1098,382
70419,1173,264,6167,1820,1097,380
70419,1173,7569,6167,1821,1097,381
70419,1173,673,6167,1819,1095,382
70419,1173,676,6166,1820,1095,382
82796,1172,264,6167,1820,1095,382
82796,1172,7502,6166,1820,1098,379
82796,1172,673,6167,1820,1097,380
82796,1172,2459,6166,1820,1096,379
75873,1171,264,6167,1820,1095,380
75873,1171,7567,6166,1821,1095,379
75873,1171,675,6167,1819,1103,379
75873,1171,668,6167,1820,1101,380
70332,1172,265,6167,1820,1102,380
70332,1172,7565,6167,1819,1100,380
70332,1172,678,6167,1821,1101,380
70332,1172,669,6167,1821,1100,380
70383,1172,264,6167,1819,1101,380
70383,1172,7568,6167,1821,1097,381
70383,1172,673,6166,1821,1100,380
70383,1172,671,6167,1821,1100,380
70483,1171,264,6166,1820,1101,381
70483,1171,7571,6167,1821,1101,380
70483,1171,2465,6166,1821,1098,381
70483,1171,673,6167,1820,1097,381
70444,1173,264,6167,1821,1098,381
70444,1173,7570,6167,1821,1098,380
70444,1173,672,6167,1819,1098,382
70444,1173,672,6166,1820,1099,381
70356,1172,264,6166,1820,1101,380
70356,1172,7568,6166,1820,1100,381
70356,1172,671,6167,1821,1100,381
70356,1172,671,6167,1820,1099,380
