TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
84978,1148,172,6179,1821,1104,379,39751
70394,1147,171,6187,1821,1105,381,39746
70344,1148,172,6191,1821,1108,380,39763
70457,1148,172,6172,1819,1109,380,39727
70381,1149,171,6191,1821,1107,379,39773
70292,1147,171,6177,1821,1110,382,39766
75796,1148,172,6191,1819,1108,381,39749
77251,1148,171,6191,1821,1108,382,39755
70318,1147,171,6187,1821,1109,379,39781
70407,1148,172,6185,1821,1107,382,39750
79725,1148,172,6192,1820,1110,379,39756
70431,1148,172,6191,1821,1105,379,39756
70369,1148,172,6191,1821,1108,379,39725
70330,1148,172,6184,1820,1108,380,39761
70328,1147,172,6191,1820,1108,380,39748
82768,1147,171,6191,1821,1107,381,39783
70381,1148,171,6183,1820,1108,380,39764
70445,1147,172,6191,1820,1103,379,39761
79476,1147,171,6191,1821,1109,379,39753
70370,1148,171,6174,1821,1107,380,39758
70355,1147,171,6192,1820,1107,380,39772
70304,1148,172,6191,1819,1107,379,39761
70355,1148,172,6191,1821,1106,380,39766
86584,1147,172,6191,1821,1107,379,39765
70356,1148,172,6191,1821,1108,380,39761
75987,1148,171,6191,1821,1108,381,39766
70419,1148,171,6173,1820,1107,379,39746
70382,1148,172,6191,1821,1108,379,39768
70395,1148,171,6191,1821,1110,382,39778
70292,1147,171,6175,1820,1106,379,39736
70292,1147,172,6191,1820,1105,380,39764
77302,1147,171,6192,1820,1106,380,39766
70380,1148,171,6191,1821,1105,380,39753
70457,1147,171,6191,1820,1108,379,39755
70444,1147,172,6192,1820,1107,380,39773
70393,1148,172,6192,1820,1105,380,39733
85130,1148,172,6182,1820,1106,382,39745
70304,1148,172,6191,1820,1109,379,39771
70291,1148,171,6191,1821,1106,381,39776
77215,1147,171,6191,1820,1106,381,39754
70331,1148,172,6186,1821,1110,379,39774
70382,1148,172,6174,1821,1105,380,39733
70393,1147,173,6192,1820,1106,382,39763
70394,1149,171,6178,1820,1109,380,39763
70382,1148,172,6191,1820,1108,381,39769
75796,1148,171,6191,1821,1107,379,39776
70331,1147,171,6187,1820,1108,379,39768
77303,1148,171,6191,1820,1105,379,39768
70231,1148,171,6174,1821,1109,380,39738
