TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79508,1148,171,6192,1839,1104,380,39846
70217,1148,172,6191,1840,1104,380,39838
70329,1148,172,6191,1840,1102,379,39834
70319,1147,172,6184,1840,1101,379,39820
70355,1148,172,6191,1841,1104,380,39807
70304,1148,172,6191,1840,1106,380,39816
70318,1148,172,6191,1840,1103,379,39839
77278,1148,172,6191,1841,1105,379,39820
70355,1148,172,6191,1840,1108,380,39843
75822,1147,171,6191,1840,1105,380,39839
79913,1148,171,6178,1840,1105,379,39824
70357,1148,172,6191,1841,1104,380,39836
70344,1148,172,6172,1840,1105,380,39818
70342,1147,173,6170,1840,1103,380,39794
70306,1147,171,6178,1840,1102,380,39811
77215,1148,172,6191,1840,1103,380,39832
70356,1148,172,6191,1840,1103,380,39838
70406,1148,172,6179,1841,1103,379,39828
75685,1148,172,6191,1840,1104,380,39820
70419,1148,172,6192,1840,1104,379,39825
70394,1148,172,6191,1840,1103,379,39840
70292,1148,172,6185,1840,1103,380,39832
70317,1147,171,6191,1840,1103,381,39819
86710,1147,171,6191,1840,1103,379,39808
70344,1148,172,6185,1841,1105,380,39825
70394,1148,172,6191,1840,1104,380,39807
70393,1148,172,6189,1841,1104,378,39822
70408,1147,171,6192,1840,1105,379,39814
75848,1148,172,6191,1840,1104,380,39799
70381,1148,171,6191,1840,1102,380,39795
70354,1147,171,6182,1840,1106,380,39808
86358,1148,172,6170,1840,1105,379,39815
70331,1148,172,6191,1840,1105,379,39830
70431,1147,171,6191,1841,1102,381,39824
70381,1148,172,6192,1840,1105,379,39827
70431,1147,172,6167,1840,1106,380,39766
79763,1148,172,6191,1841,1106,381,39837
70329,1148,172,6179,1840,1104,380,39805
75634,1147,171,6191,1841,1103,381,39838
77252,1147,171,6191,1841,1102,380,39788
70343,1147,172,6190,1840,1102,379,39820
70280,1148,171,6188,1841,1106,379,39797
70306,1147,172,6191,1841,1102,379,39835
70305,1148,171,6183,1840,1103,380,39818
70304,1147,172,6191,1839,1104,379,39825
70317,1148,172,6169,1840,1103,380,39799
70305,1147,172,6186,1841,1104,380,39835
77227,1147,171,6191,1841,1104,380,39836
75797,1147,171,6187,1840,1103,380,39809
79801,1148,172,6191,1841,1103,380,39818
70369,1148,172,6169,1840,1102,379,39795
70407,1148,172,6191,1840,1105,378,39836
70343,1147,172,6191,1841,1106,380,39839
70304,1148,172,6192,1840,1104,379,39826
70317,1148,171,6191,1840,1103,379,39836
77228,1148,172,6192,1840,1104,379,39838
