TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
85104,1148,172,6167,1819,1093,382,39695
70382,1147,171,6191,1819,1094,381,39697
70369,1147,171,6191,1819,1095,382,39714
70381,1147,171,6172,1819,1098,381,39691
70381,1148,171,6171,1818,1102,380,39704
70355,1148,171,6191,1819,1102,380,39735
70368,1147,171,6191,1819,1100,381,39732
82707,1148,172,6192,1818,1101,380,39733
70381,1147,171,6178,1819,1097,380,39725
70407,1147,172,6191,1819,1100,379,39735
79739,1148,172,6191,1819,1100,380,39729
70381,1148,172,6192,1819,1099,379,39705
70432,1148,171,6177,1820,1098,380,39716
70332,1148,171,6191,1819,1097,378,39684
70356,1148,172,6185,1819,1094,380,39712
77266,1148,171,6191,1819,1094,381,39699
70380,1148,172,6191,1819,1095,380,39694
75923,1148,172,6191,1819,1095,378,39700
70419,1148,171,6173,1819,1095,381,39691
70456,1148,172,6191,1818,1096,378,39693
70282,1148,172,6191,1819,1096,377,39720
70330,1147,171,6191,1819,1094,380,39707
70369,1148,171,6191,1819,1100,380,39712
86672,1148,172,6191,1819,1099,381,39735
70368,1148,172,6192,1818,1100,380,39717
70393,1149,171,6169,1819,1101,380,39690
75735,1148,172,6191,1819,1099,381,39733
70419,1147,172,6192,1818,1100,381,39721
70418,1147,172,6191,1819,1100,380,39742
70431,1147,172,6191,1819,1098,379,39697
70380,1148,172,6191,1819,1097,380,39728
77290,1148,171,6191,1819,1098,381,39729
70356,1148,172,6191,1818,1101,380,39737
70457,1147,171,6191,1819,1099,381,39736
70357,1147,172,6191,1819,1101,380,39728
70407,1148,171,6191,1819,1100,380,39727
85379,1148,172,6192,1819,1099,381,39719
70430,1148,172,6192,1818,1100,380,39725
70393,1147,171,6188,1819,1099,381,39734
77254,1147,172,6178,1819,1097,380,39701
70445,1148,171,6184,1819,1098,381,39726
70370,1147,171,6191,1819,1098,381,39738
70431,1148,171,6192,1819,1098,381,39713
70407,1148,172,6190,1819,1098,381,39712
70382,1148,171,6191,1819,1098,381,39728
70368,1147,172,6191,1819,1097,381,39734
70381,1147,172,6192,1818,1095,381,39726
82707,1148,171,6191,1819,1096,379,39701
70393,1147,171,6192,1819,1102,381,39735
88831,1148,172,6191,1819,1100,380,39730
70407,1148,172,6191,1819,1100,380,39732
70445,1148,172,6184,1819,1097,382,39707
70419,1147,171,6191,1819,1099,381,39675
70342,1147,172,6191,1818,1101,380,39728
70355,1148,172,6191,1819,1101,380,39739
77279,1148,171,6167,1819,1099,380,39703
75661,1147,171,6191,1819,1096,382,39736
70469,1148,171,6180,1819,1097,379,39703
70470,1148,172,6191,1819,1096,378,39713
70832,1148,172,6192,1818,1096,381,39717
75747,1148,172,6191,1819,1093,381,39719
79712,1147,173,6191,1818,1096,380,39687
70355,1148,171,6191,1819,1095,377,39705
