RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
643.388428,413100.750000,1.597412,20.633287,6.639102,3.667363,24.347996,460.501526,253364.578125,249878.343750,248334.953125,375.000000,351.562500,398.437500,4
2352.687744,5536642.500000,0.385334,8.722328,5.666609,2.090676,11.847040,70.605202,1545312.125000,1445333.250000,1168002.125000,398.437500,375.000000,421.875000,4
3217.858643,10359136.000000,0.256514,5.030745,4.143054,1.592656,6.598458,23.756063,2655597.250000,2364942.750000,1109318.375000,398.437500,375.000000,421.875000,4
3269.966797,10697628.000000,0.244371,4.736002,4.077033,1.480788,6.037223,17.318317,2858088.250000,2389359.500000,893973.937500,398.437500,375.000000,421.875000,4
3255.398193,10597736.000000,0.275607,4.831870,4.095278,1.472303,6.029490,16.219664,2684935.250000,2100662.750000,1271226.125000,398.437500,375.000000,421.875000,3
3286.354248,10803029.000000,0.187701,4.503156,3.995409,1.474605,5.891650,16.049355,2208158.000000,2204916.000000,1057722.125000,421.875000,398.437500,351.562500,4
3276.192627,10738289.000000,0.075350,4.127079,3.311713,1.475649,4.886928,13.851583,2765671.000000,1937642.250000,1445841.625000,398.437500,375.000000,421.875000,4
3296.652100,10872831.000000,0.091892,4.048675,3.291161,1.463848,4.817760,13.554187,2946314.500000,2247376.750000,991099.937500,398.437500,375.000000,421.875000,4
3318.837402,11019999.000000,0.081874,3.970739,3.269160,1.457440,4.764604,13.386970,2847024.500000,1960999.750000,1403940.500000,398.437500,375.000000,421.875000,3
3127.754883,9781432.000000,-0.062617,4.144904,3.468882,1.463350,5.076188,14.088367,2073353.750000,1858137.375000,1492636.375000,398.437500,421.875000,351.562500,3
2941.951904,8657001.000000,0.103860,4.215298,4.284743,1.438923,6.165414,15.675576,2576846.500000,1674502.125000,1293249.875000,398.437500,375.000000,421.875000,3
2919.905029,8530002.000000,0.075184,4.305639,4.317095,1.447267,6.247988,15.940368,2664136.250000,2019361.875000,857159.687500,398.437500,375.000000,421.875000,4
2884.401367,8322718.000000,0.057898,4.448123,4.370234,1.455709,6.361787,16.283936,2491988.000000,1723833.625000,1278465.500000,398.437500,375.000000,421.875000,4
2888.715088,8341001.500000,0.253106,4.583349,4.363708,1.466413,6.398996,16.026592,1885268.250000,1862801.625000,1277417.625000,398.437500,421.875000,351.562500,4
2935.656494,8622253.000000,-0.016670,4.598269,3.796232,1.483164,5.630436,15.975254,2355331.500000,1742497.375000,1079355.625000,398.437500,375.000000,421.875000,3
2932.872314,8605876.000000,-0.002392,4.608681,3.799836,1.482551,5.633449,15.939233,2487094.250000,2026036.750000,649921.062500,398.437500,375.000000,421.875000,4
2939.173584,8639484.000000,0.027161,4.597149,3.791689,1.488772,5.644962,16.069670,2315277.000000,1795626.250000,1002752.500000,398.437500,375.000000,421.875000,3
2785.188477,7760303.000000,-0.008277,4.275746,3.523003,1.447530,5.099653,15.185321,2008935.000000,1788861.375000,1041885.312500,398.437500,421.875000,351.562500,4
2852.384766,8139750.500000,0.015647,4.279971,3.775120,1.445727,5.457792,15.777551,2432511.750000,1692661.250000,1038807.000000,398.437500,375.000000,421.875000,4
2839.725586,8067991.000000,0.033718,4.349557,3.791949,1.456368,5.522472,16.050985,2537782.000000,1948648.250000,645379.437500,398.437500,375.000000,421.875000,4
2843.703857,8090442.500000,0.028998,4.311004,3.786644,1.443468,5.465901,15.697130,2418566.750000,1735346.000000,970876.062500,398.437500,375.000000,421.875000,3
2977.933594,8866010.000000,0.002840,4.275925,3.615962,1.452937,5.253763,15.185658,2178261.750000,1959064.000000,1133263.750000,398.437500,421.875000,351.562500,3
3075.105713,9459264.000000,0.008538,4.066944,3.402511,1.447561,4.925341,13.886107,2667942.750000,2121996.750000,1160052.125000,398.437500,375.000000,421.875000,3
3080.760742,9495722.000000,-0.022088,4.038200,3.396265,1.444819,4.906990,13.865882,2829101.250000,2362636.750000,814508.187500,398.437500,375.000000,421.875000,4
