RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
363.508514,132202.921875,-0.162746,30.180517,8.491488,3.921888,33.302670,669.493530,73361.921875,72875.796875,72301.492188,1382.812500,1359.375000,1406.250000,3
1838.441162,3381277.500000,0.502136,13.081068,6.655215,2.345059,15.606874,99.523369,444301.062500,428412.406250,394451.562500,398.437500,1875.000000,1898.437500,4
2319.586182,5382483.000000,0.091022,7.186113,5.274743,1.734201,9.147466,34.294586,595405.125000,595128.062500,488848.125000,398.437500,375.000000,1898.437500,3
2361.482178,5578900.500000,0.081347,6.715818,5.181161,1.598211,8.280591,24.372602,636810.125000,619358.250000,484784.000000,375.000000,398.437500,1921.875000,4
2358.501221,5564167.500000,0.092516,6.747001,5.187710,1.579259,8.192736,22.552479,593543.687500,556793.937500,488061.093750,375.000000,398.437500,3210.937500,4
2057.450684,4234614.000000,-0.355905,6.094638,3.570268,1.519412,5.424706,19.643293,488558.375000,429110.250000,395535.406250,867.187500,515.625000,3914.062500,3
2060.808594,4248997.500000,-0.129905,5.746384,4.770696,1.512488,7.215620,22.099579,559470.125000,552998.500000,496377.593750,398.437500,375.000000,515.625000,3
2047.799072,4195508.000000,-0.123283,5.868643,4.801004,1.522820,7.311066,22.496132,631938.500000,619434.875000,439034.468750,398.437500,375.000000,515.625000,4
2049.047607,4200643.000000,-0.133296,5.863143,4.798079,1.522113,7.303218,22.490139,625551.750000,533742.375000,435888.062500,398.437500,375.000000,492.187500,3
2133.957764,4555522.500000,-0.216944,5.093028,4.607163,1.513991,6.975204,18.695570,601066.250000,519213.781250,513266.312500,421.875000,1171.875000,398.437500,3
2195.359375,4821685.000000,-0.003412,6.680447,6.109615,1.552478,9.485041,22.947487,689466.625000,658252.937500,627154.937500,375.000000,398.437500,1335.937500,4
2199.178223,4838627.000000,-0.002745,6.636305,6.099005,1.549099,9.447961,22.868654,746593.687500,710284.875000,645200.250000,398.437500,375.000000,1335.937500,4
2212.497559,4897523.500000,-0.009045,6.492076,6.062289,1.536387,9.314023,22.422359,700272.625000,635751.375000,618319.750000,398.437500,1335.937500,2039.062500,4
2142.264893,4591287.000000,0.281513,7.010706,6.261037,1.550947,9.710539,23.377161,591971.375000,583315.375000,515732.750000,2156.250000,2179.687500,421.875000,3
2085.331543,4350731.500000,0.178983,6.222118,5.217270,1.540213,8.035705,22.355099,733142.312500,518754.312500,514537.343750,398.437500,421.875000,2320.312500,4
2080.085205,4328784.500000,0.182400,6.288898,5.230429,1.554297,8.129641,22.850948,768864.687500,577683.750000,519473.125000,398.437500,375.000000,2320.312500,4
2071.199463,4291742.500000,0.185724,6.385114,5.252868,1.559989,8.194415,23.026762,663717.125000,544739.812500,526310.687500,398.437500,375.000000,2226.562500,3
2020.218628,4081301.000000,0.214648,6.747301,5.385426,1.553738,8.367543,23.334284,589373.750000,536567.937500,462068.437500,421.875000,351.562500,375.000000,3
1990.784424,3964802.250000,0.201004,5.483935,4.791421,1.523491,7.299689,18.822521,621436.875000,535231.875000,502094.812500,375.000000,398.437500,2132.812500,4
2007.440308,4031776.000000,0.162007,5.347491,4.751667,1.506309,7.157480,18.249763,648532.437500,579402.250000,526223.312500,375.000000,398.437500,2132.812500,4
2020.838135,4085772.250000,0.157514,5.229879,4.720164,1.496382,7.063168,17.972195,533957.437500,503685.437500,441023.593750,375.000000,398.437500,2132.812500,4
2215.394775,4910176.000000,0.032569,5.869615,4.272851,1.542712,6.591777,19.840979,679836.625000,554362.750000,546550.875000,398.437500,796.875000,421.875000,3
2207.881836,4876363.500000,0.329598,6.993267,5.421366,1.572721,8.526299,23.065359,798677.437500,688520.750000,471099.156250,398.437500,375.000000,1945.312500,3
