TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79687,1148,171,6167,1840,1101,19,38289
70444,1148,171,6168,1840,1102,19,38294
70356,1148,172,6167,1840,1102,20,38289
79551,1148,172,6167,1840,1103,19,38293
70381,1148,172,6167,1840,1103,19,38296
70330,1148,171,6167,1840,1101,19,38289
70379,1149,171,6167,1841,1104,20,38294
77239,1147,171,6166,1840,1103,19,38294
75797,1148,172,6167,1839,1102,19,38291
70482,1148,172,6167,1840,1102,19,38293
70469,1147,171,6166,1840,1102,19,38292
79726,1148,171,6167,1840,1101,19,38287
70356,1147,172,6167,1841,1102,20,38286
70316,1149,171,6167,1840,1103,20,38294
70305,1148,171,6167,1840,1102,19,38291
77253,1148,171,6167,1841,1101,19,38293
70367,1147,172,6167,1840,1103,19,38292
70418,1148,172,6168,1839,1102,19,38289
75811,1147,171,6167,1841,1101,19,38287
70482,1148,172,6167,1841,1102,19,38295
70456,1147,172,6168,1840,1102,20,38288
70367,1148,171,6167,1840,1102,19,38292
70231,1148,172,6167,1840,1103,19,38294
77227,1148,172,6167,1839,1105,19,38294
79710,1147,173,6167,1841,1101,19,38293
70869,1148,172,6166,1840,1102,19,38291
75523,1148,171,6167,1840,1103,19,38295
70419,1148,172,6168,1840,1102,19,38295
75823,1148,171,6167,1840,1100,19,38290
70416,1148,172,6167,1839,1102,19,38291
70367,1147,171,6167,1840,1101,20,38293
77278,1148,171,6167,1840,1101,19,38288
70343,1148,171,6167,1840,1101,19,38292
70393,1147,173,6168,1840,1103,19,38295
70406,1147,171,6166,1840,1103,19,38291
70406,1147,171,6167,1840,1102,19,38295
70407,1147,171,6167,1840,1101,19,38289
84954,1147,171,6167,1840,1103,19,38291
70356,1148,172,6167,1840,1100,19,38288
77264,1147,172,6167,1839,1104,20,38293
70393,1147,171,6167,1840,1102,19,38293
70406,1147,171,6167,1840,1101,19,38294
70395,1148,172,6167,1840,1102,19,38293
70356,1147,171,6167,1841,1103,19,38294
70380,1147,173,6168,1839,1102,19,38291
70293,1148,171,6167,1841,1102,19,38290
70381,1148,172,6167,1840,1101,18,38293
77251,1148,172,6166,1840,1103,19,38290
75972,1148,171,6167,1841,1102,19,38291
70431,1147,171,6167,1840,1100,19,38291
79914,1147,171,6167,1840,1102,18,38291
70305,1148,172,6167,1841,1103,20,38291
70418,1148,172,6168,1840,1104,20,38297
70405,1148,171,6166,1840,1102,19,38292
70317,1148,172,6167,1841,1102,18,38292
77303,1148,171,6167,1840,1102,19,38290
70354,1147,173,6167,1839,1103,19,38290
70419,1147,171,6167,1840,1102,19,38292
75811,1148,172,6168,1840,1103,19,38290
70482,1148,172,6166,1840,1103,19,38291
79650,1147,172,6167,1839,1104,19,38298
