TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
79988,1172,264,6187,1819,1120,19
79988,1172,7204,6191,1819,1106,18
79988,1172,313,6191,1819,1107,18
79988,1172,311,6191,1819,1108,19
75724,1172,265,6191,1819,1106,18
75724,1172,7207,6191,1819,1109,18
75724,1172,309,6191,1818,1107,17
75724,1172,311,6191,1819,1108,18
70370,1172,263,6191,1819,1105,18
70370,1172,7205,6191,1819,1106,18
70370,1172,313,6191,1819,1104,18
70370,1172,305,6191,1819,1107,19
85017,1172,264,6190,1819,1105,17
85017,1172,7205,6191,1819,1108,18
85017,1172,311,6191,1819,1107,18
85017,1172,310,6175,1820,1107,19
70382,1172,264,6191,1819,1107,18
70382,1172,7201,6191,1819,1107,19
70382,1172,311,6191,1819,1105,19
70382,1172,313,6192,1819,1105,19
70330,1172,265,6191,1819,1104,18
70330,1172,7202,6191,1819,1105,17
70330,1172,312,6192,1819,1107,18
70330,1172,311,6191,1819,1106,19
70306,1172,264,6191,1819,1106,17
70306,1172,7208,6191,1819,1100,19
70306,1172,310,6188,1819,1105,18
70306,1172,308,6174,1819,1107,19
86360,1172,264,6191,1820,1108,19
86360,1172,7203,6192,1819,1106,19
86360,1172,313,6191,1819,1105,18
86360,1172,313,6182,1819,1106,18
70305,1171,264,6191,1818,1107,18
70305,1171,7209,6177,1819,1106,18
70305,1171,308,6191,1819,1106,18
70305,1171,312,6191,1819,1106,20
70356,1173,264,6191,1819,1108,19
70356,1173,7208,6174,1819,1106,18
70356,1173,313,6191,1819,1107,18
70356,1173,310,6191,1819,1108,19
70420,1172,264,6191,1819,1107,18
70420,1172,7207,6169,1819,1102,17
70420,1172,311,6191,1819,1105,19
70420,1172,2099,6183,1819,1106,18
70395,1172,264,6181,1818,1110,18
70395,1172,7205,6187,1819,1106,18
70395,1172,307,6191,1819,1107,18
70395,1172,311,6191,1819,1108,19
75647,1171,264,6184,1819,1107,18
75647,1171,7204,6181,1818,1105,19
75647,1171,315,6191,1819,1109,18
75647,1171,309,6191,1819,1109,19
70331,1172,264,6180,1818,1109,17
70331,1172,7208,6191,1819,1104,18
70331,1172,315,6191,1819,1108,18
70331,1172,311,6191,1820,1107,19
70393,1172,264,6176,1819,1109,19
70393,1172,7204,6191,1819,1103,17
70393,1172,306,6190,1819,1108,17
70393,1172,2095,6191,1819,1108,18
77190,1172,264,6186,1819,1106,17
77190,1172,7200,6173,1819,1105,19
77190,1172,314,6191,1819,1104,18
77190,1172,313,6174,1819,1106,19
70332,1172,264,6173,1820,1106,18
70332,1172,7202,6170,1819,1110,18
70332,1172,312,6190,1819,1109,18
70332,1172,310,6192,1818,1109,19
70381,1172,265,6191,1819,1106,17
70381,1172,7219,6186,1819,1108,19
70381,1172,307,6192,1819,1105,17
70381,1172,314,6191,1819,1107,19
70356,1171,264,6191,1819,1102,18
70356,1171,7204,6182,1819,1108,17
70356,1171,2096,6191,1819,1105,18
70356,1171,312,6175,1819,1105,20
70383,1172,264,6191,1819,1104,18
70383,1172,7204,6180,1819,1106,17
70383,1172,305,6191,1820,1109,19
70383,1172,309,6182,1819,1105,18
70382,1172,264,6191,1819,1105,18
70382,1172,7202,6176,1819,1110,18
70382,1172,315,6192,1818,1106,18
70382,1172,312,6177,1819,1107,18
75885,1171,263,6191,1818,1107,18
75885,1171,7201,6191,1820,1100,19
75885,1171,309,6191,1819,1107,18
75885,1171,311,6179,1819,1106,18
70330,1173,264,6191,1819,1107,18
70330,1173,8987,6191,1819,1108,19
70330,1173,311,6192,1819,1107,18
70330,1173,310,6177,1819,1109,18
77215,1172,264,6187,1819,1108,19
77215,1172,7207,6173,1819,1104,17
77215,1172,307,6169,1820,1106,18
77215,1172,307,6191,1819,1106,18
70357,1172,264,6183,1819,1107,18
70357,1172,7208,6191,1819,1106,18
70357,1172,312,6186,1819,1106,18
70357,1172,308,6192,1818,1107,19
70331,1171,264,6169,1819,1107,18
70331,1171,7203,6187,1819,1106,16
