TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79712,1148,172,6167,1818,1093,20,38176
70432,1147,171,6167,1819,1094,21,38180
70419,1148,172,6167,1819,1096,20,38185
75823,1148,172,6167,1819,1098,19,38185
70418,1147,172,6166,1819,1101,19,38195
70393,1147,172,6166,1819,1102,19,38208
70344,1148,172,6167,1819,1100,19,38201
77253,1149,171,6168,1818,1101,19,38196
70356,1148,171,6167,1819,1098,19,38198
70444,1147,171,6167,1818,1100,19,38192
70394,1148,171,6167,1819,1100,19,38199
79800,1148,171,6168,1818,1098,19,38195
75747,1148,172,6167,1819,1099,19,38189
70919,1147,171,6166,1819,1097,19,38187
75797,1148,171,6167,1819,1095,19,38180
77353,1148,172,6167,1819,1095,19,38180
70368,1147,172,6166,1819,1095,19,38181
70408,1147,171,6167,1819,1096,19,38180
70394,1148,172,6167,1819,1095,19,38183
70406,1147,173,6167,1819,1095,20,38181
70407,1147,171,6167,1819,1097,19,38188
70418,1148,171,6167,1819,1095,19,38178
70429,1148,172,6168,1818,1099,18,38186
82758,1148,171,6168,1818,1099,19,38191
79838,1148,172,6168,1818,1099,19,38187
70369,1147,171,6166,1819,1100,19,38195
70395,1147,172,6166,1819,1099,19,38196
70406,1148,172,6168,1818,1101,19,38197
70381,1148,171,6167,1819,1100,19,38198
70370,1148,171,6166,1819,1098,19,38195
70368,1148,172,6167,1819,1098,19,38187
77341,1147,171,6167,1819,1098,19,38183
70395,1148,172,6167,1818,1100,19,38191
75973,1148,171,6167,1819,1100,19,38197
70446,1148,171,6167,1819,1101,19,38194
70394,1148,172,6166,1819,1099,19,38192
70368,1147,172,6167,1819,1099,19,38196
79725,1148,171,6166,1819,1099,19,38189
79712,1147,172,6167,1819,1099,19,38189
77278,1147,172,6167,1819,1097,19,38190
70392,1147,173,6167,1819,1098,19,38185
70407,1148,172,6167,1819,1099,19,38191
75797,1147,171,6166,1819,1098,19,38189
70445,1148,171,6167,1819,1098,19,38186
70431,1147,172,6166,1819,1098,19,38181
70380,1148,172,6167,1819,1097,19,38190
70382,1148,172,6167,1819,1095,20,38177
77266,1148,171,6167,1818,1097,19,38186
70469,1148,172,6167,1819,1102,19,38193
70396,1147,171,6167,1819,1100,19,38200
79826,1148,172,6167,1819,1099,19,38194
70470,1147,171,6167,1819,1097,20,38190
75884,1147,171,6167,1819,1099,19,38190
70482,1148,171,6167,1819,1099,19,38196
70355,1147,172,6167,1819,1101,19,38201
77241,1148,171,6167,1818,1098,19,38191
70356,1149,171,6168,1818,1097,20,38192
70432,1147,171,6167,1819,1097,19,38177
70421,1147,171,6166,1819,1096,19,38183
70419,1148,172,6167,1819,1095,19,38180
70406,1147,172,6166,1819,1094,19,38175
70380,1147,172,6167,1819,1096,19,38178
70394,1148,171,6167,1819,1095,19,38179
92239,1148,171,6167,1819,1095,19,38182
70369,1148,171,6167,1819,1096,19,38182
70381,1148,172,6167,1819,1094,19,38174
70407,1148,172,6167,1819,1094,19,38179
70420,1147,171,6166,1819,1094,19,38176
70394,1147,172,6167,1819,1094,19,38178
70369,1147,172,6166,1819,1100,20,38184
70381,1148,172,6166,1819,1097,19,38191
77290,1147,172,6167,1819,1098,19,38183
75810,1148,172,6167,1819,1096,19,38189
70444,1148,172,6167,1819,1096,19,38182
75874,1148,172,6166,1819,1099,19,38187
70407,1147,171,6167,1819,1102,19,38200
79813,1147,171,6167,1819,1101,19,38200
70368,1148,171,6167,1818,1097,19,38193
70367,1147,172,6166,1819,1098,18,38182
77241,1148,172,6167,1819,1101,19,38201
70394,1148,172,6167,1818,1103,19,38207
70419,1148,172,6167,1819,1099,19,38197
75899,1148,171,6168,1818,1098,19,38187
70457,1148,172,6167,1819,1096,19,38187
70395,1147,172,6167,1819,1095,19,38183
70342,1148,172,6167,1819,1096,19,38180
70343,1148,172,6167,1819,1096,19,38180
77417,1147,172,6166,1819,1094,19,38178
70430,1148,172,6168,1818,1096,19,38177
79749,1147,172,6167,1819,1096,19,38176
70445,1147,171,6167,1819,1095,19,38178
70358,1147,172,6167,1819,1095,19,38176
75785,1147,171,6166,1819,1098,19,38187
70318,1148,171,6168,1818,1099,20,38188
70318,1147,171,6166,1819,1098,19,38190
86523,1148,172,6167,1818,1098,19,38189
70281,1149,171,6167,1819,1101,19,38196
70332,1148,172,6167,1819,1097,19,38192
70346,1148,171,6166,1819,1099,19,38192
