RMS,Mean,Median,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
22.202602,-5.89919,0.0,458.1551,-3.8905999660491943,14.246311,0.7410869,3.498609,2.5927732,0.40856022,17758.177734375,4000.420654296875,2117.7900390625,82.03125,234.375,503.90625,1
55.59496,-31.07787,0.0,2124.9653,-0.9422516226768494,-0.9261751,0.2959631,1.7635307,0.52194005,0.016556488,29898.40234375,5129.4423828125,3165.1904296875,58.59375,304.6875,550.78125,1
70.28577,-50.982147,-47.07332,2340.9097,-0.1354946345090866,-1.7014301,0.23410228,1.3666542,0.31993684,0.006220932,29645.166015625,6008.51025390625,5868.7138671875,35.15625,175.78125,316.40625,1
71.07814,-54.068127,-54.43371,2128.7397,-0.0819540023803711,-1.6347079,0.23149252,1.3018421,0.3013667,0.0055197254,33186.765625,4521.5439453125,4445.74072265625,70.3125,187.5,433.59375,1
68.70965,-49.374767,-41.778538,2283.148,-0.0853695347905159,-1.3361623,1.2492296,1.3172077,1.6454947,0.03154518,28819.70703125,10825.1806640625,8212.06640625,70.3125,433.59375,832.03125,1
77.22161,-34.08294,-15.841737,4801.5303,-0.45629024505615234,3.7963028,3.5625186,1.4956313,5.3282146,0.103197075,47202.984375,33758.9140625,29842.1640625,480.46875,855.46875,70.3125,1
100.53366,-21.673248,-6.605876,9637.287,-0.5576589703559875,4.073107,4.589425,1.634156,7.499837,0.12190846,84935.3671875,56476.0390625,48308.37109375,503.90625,867.1875,70.3125,1
102.03079,-20.06321,-4.029565,10007.75,-0.5701955556869507,3.6300845,4.5220833,1.5741081,7.1182475,0.10981872,85701.9765625,58273.08203125,42816.87109375,492.1875,867.1875,70.3125,1
103.492874,-19.579746,-3.04771,10327.409,-0.5375451445579529,3.2899427,4.458198,1.5236001,6.7925105,0.0999979,89930.578125,58892.81640625,41619.984375,492.1875,867.1875,70.3125,1
106.89767,-11.308937,-1.2960122,11299.219,-0.3508901298046112,3.140337,4.3162003,1.5380269,6.6384315,0.09551272,74118.2265625,71231.46875,63833.7734375,890.625,480.46875,773.4375,1
94.642624,-5.1081657,-0.37997857,8931.132,-0.17957012355327606,2.1442966,3.838947,1.4893436,5.7175117,0.08997362,57759.8671875,54652.43359375,52961.95703125,503.90625,832.03125,984.375,1
94.51724,-4.3489513,-0.17521912,8914.597,-0.18643565475940704,2.1647663,3.8440397,1.4990506,5.76241,0.091392264,68714.109375,54261.7890625,53696.15625,820.3125,621.09375,984.375,1
93.57839,-3.4990501,-0.07280506,8744.673,-0.2097666710615158,2.3365169,3.882606,1.5313264,5.945537,0.09729338,64915.10546875,56466.515625,56215.97265625,820.3125,621.09375,492.1875,1
87.47147,-3.65156,-0.09346682,7637.925,-0.11728699505329132,2.052257,3.9288092,1.5145885,5.9505286,0.10303476,69992.34375,60294.88671875,40085.52734375,972.65625,632.8125,468.75,1
82.30361,-4.786661,-0.32747078,6750.9727,0.049304429441690445,2.420064,4.1755,1.5329896,6.4009976,0.11922518,64545.46484375,40772.96875,39669.5,937.5,808.59375,621.09375,1
82.02208,-3.9543567,-0.17906862,6711.9854,0.032480377703905106,2.4649024,4.1898317,1.5473613,6.4831834,0.122306414,67055.2578125,42457.80078125,39855.05078125,949.21875,738.28125,621.09375,1
80.91288,-4.6776056,-0.22634846,6525.014,0.0353621244430542,2.7297525,4.2472687,1.5840881,6.7280474,0.1317197,68134.2109375,41397.2421875,34789.5078125,949.21875,796.875,70.3125,1
65.34345,-4.189687,-0.17291737,4252.213,-0.1844218671321869,3.1959214,4.29687,1.5826533,6.800456,0.16471069,60065.69921875,43913.4296875,34347.6953125,867.1875,750.0,70.3125,1
52.96143,-2.6305213,-0.092812076,2797.9932,-0.2566080689430237,2.04496,3.9398696,1.5111138,5.9535913,0.16986993,39089.69921875,31597.556640625,30062.70703125,867.1875,58.59375,656.25,1
50.938385,-3.1479058,-0.21767844,2584.8096,-0.2719587981700897,2.55763,4.0963435,1.5379953,6.3001575,0.1902222,39013.90625,32894.2421875,32169.59765625,902.34375,58.59375,773.4375,1
50.41023,-3.1006932,-0.32518876,2531.5771,-0.285630464553833,2.7633958,4.1392617,1.5603895,6.458861,0.19992645,39032.484375,31039.19140625,24898.744140625,867.1875,70.3125,621.09375,1
50.460724,-1.2098194,-0.23649228,2544.8208,0.002216535620391369,2.5702906,4.13512,1.5417757,6.3754272,0.19479464,49213.80078125,36709.08984375,30659.87109375,914.0625,785.15625,632.8125,1
56.71124,-0.29012918,-0.25453526,3216.0806,0.1157887876033783,2.5985384,3.6026897,1.567794,5.6482754,0.15614775,59509.828125,26079.111328125,20706.619140625,878.90625,468.75,609.375,1
56.285244,-0.90752256,-0.2950881,3167.205,0.1327551156282425,2.739325,3.6299567,1.5795641,5.7337494,0.16090938,55191.140625,27373.544921875,19323.58203125,878.90625,468.75,609.375,1
56.309578,-0.8593149,-0.12406573,3170.0298,0.13086187839508057,2.7287674,3.6283882,1.5794568,5.730882,0.16074853,57670.8203125,26948.59765625,19351.17578125,878.90625,468.75,609.375,1
54.014168,-0.93348825,-0.06240134,2916.6584,0.09824322164058685,3.1000676,3.7825818,1.5992626,6.049341,0.17911014,59302.1875,34155.20703125,20464.248046875,878.90625,480.46875,70.3125,1
40.334667,-4.24694,-0.10877754,1608.8489,-0.35805925726890564,3.4530697,4.2055078,1.5912194,6.6918855,0.26399767,26046.697265625,24456.025390625,22692.72265625,878.90625,597.65625,35.15625,1
39.392727,-3.4083347,-0.25341195,1540.1702,-0.417060911655426,3.9861736,4.3060675,1.6620798,7.157028,0.3019733,26028.798828125,25711.751953125,21983.46875,890.625,35.15625,609.375,1
39.039684,-2.683839,-0.053010523,1516.8939,-0.47572264075279236,4.2161336,4.3450084,1.692122,7.352284,0.31867474,27397.583984375,24789.14453125,21845.01953125,35.15625,890.625,609.375,1
28.972694,-3.4183817,-0.08827852,827.7317,-1.2674541473388672,4.9216413,3.8654578,1.6321491,6.3090034,0.35541168,23207.66015625,19354.59765625,13157.494140625,35.15625,445.3125,585.9375,1
23.92919,-3.6428835,-0.15691839,559.3355,-0.6662570834159851,1.7067542,3.1650884,1.493218,4.7261667,0.29492,25324.419921875,15132.9091796875,10572.62890625,35.15625,445.3125,855.46875,1
24.180307,-4.7419953,-0.36784005,562.20074,-0.5538459420204163,1.552979,3.1322181,1.4802364,4.6364236,0.2838261,22535.49609375,14099.1103515625,11006.2099609375,35.15625,445.3125,855.46875,1
24.038027,-5.0603476,-0.6275395,552.2196,-0.5111280083656311,1.6989021,3.1507578,1.5101064,4.75798,0.29890373,21071.998046875,11378.623046875,10877.3984375,35.15625,457.03125,855.46875,1
21.532825,-4.132415,-0.1812436,446.58575,-0.930372953414917,1.9909358,2.681287,1.530189,4.102876,0.29156303,28676.462890625,9966.8955078125,8574.5087890625,58.59375,398.4375,539.0625,1
17.419918,-0.9176509,-0.061585516,302.61148,-0.36251533031463623,1.5884137,3.5777574,1.4716913,5.265354,0.44483426,20968.6171875,13778.3017578125,7420.06201171875,58.59375,398.4375,539.0625,1
17.03249,-0.19516349,0.00087133865,290.06763,-0.44753172993659973,1.9716516,3.6591387,1.5030746,5.4999585,0.48535758,18670.251953125,11923.728515625,6482.40185546875,58.59375,398.4375,539.0625,1
